sample_id,decision,time_h,slope,r.squared,w_size
191030_PC_1_5,297,427.33388889,0.06768871,0.79585812,6
191030_PC_1_5,298,428.33388889,0.04978956,0.93830129,12
191030_PC_1_5,299,429.16722222,0.04928122,0.77892979,10
191030_PC_1_5,300,430.16722222,0.04713131,0.96649437,12
191030_PC_1_5,301,431.00055556,0.05046775,0.95253257,10
191030_PC_1_5,302,447.50055556,0.0448479,0.99999716,4
191030_PC_1_5,317,449.33388889,0.01958791,0.44414924,8
191030_PC_1_5,318,450.75055556,0.0325849,0.94856752,17
191030_PC_1_5,319,451.75055556,0.04045813,0.94570869,12
191030_PC_1_5,320,452.91722222,0.03845039,0.92974001,14
191030_PC_1_5,321,454.00055556,0.04059192,0.98061558,13
191030_PC_1_5,322,454.91722222,0.05172642,0.9443785,11
191030_PC_1_5,323,455.50055556,0.04886762,0.84492376,7
191030_PC_1_5,324,456.58416667,0.04339124,0.94180401,13
191030_PC_1_5,325,457.33388889,0.04445397,0.87366815,9
191030_PC_1_5,326,458.33388889,0.04284215,0.84251576,12
191030_PC_1_5,327,459.16722222,0.04368988,0.89258813,10
191030_PC_1_5,328,460.16722222,0.04660144,0.95125254,12
191030_PC_1_5,329,461.08388889,0.05604758,0.889909,11
191030_PC_1_5,330,461.83388889,0.04851578,0.93959214,9
191030_PC_1_5,331,462.91722222,0.04935147,0.98775353,13
191030_PC_1_5,332,463.75055556,0.04622405,0.88450178,10
191030_PC_1_5,333,464.50055556,0.05273037,0.85954227,9
191030_PC_1_5,334,465.50055556,0.05393367,0.95793711,12
191030_PC_1_5,335,466.16722222,0.06245263,0.91469944,8
191030_PC_1_5,336,467.16722222,0.04365958,0.921066,12
191030_PC_1_5,337,468.16722222,0.05326181,0.91816741,12
191030_PC_1_5,338,469.16722222,0.05374317,0.94104589,12
191030_PC_1_5,339,469.9175,0.06437848,0.96139755,9
191030_PC_1_5,340,470.91722222,0.04320667,0.95982183,12
191030_PC_1_5,341,471.58388889,0.0750641,0.98430467,8
191030_PC_1_5,342,472.50055556,0.04853388,0.91911053,11
191030_PC_1_8,218,350.25111111,0.15324605,0.91797712,4
191030_PC_1_8,219,351.58444444,0.04148819,0.78728608,16
191030_PC_1_8,220,352.08444444,0.09244562,0.98169388,6
191030_PC_1_8,221,353.33444444,0.04419183,0.80195624,15
191030_PC_1_8,222,354.08444444,0.0441955,0.7221356,9
191030_PC_1_8,223,355.08444444,0.05603165,0.87093911,12
191030_PC_1_8,224,355.75111111,0.08241331,0.78394761,8
191030_PC_1_8,225,357.00111111,0.04813224,0.93880458,15
191030_PC_1_8,226,357.75111111,0.04562285,0.72866762,9
191030_PC_1_8,227,358.91777778,0.05113872,0.90697375,14
191030_PC_1_8,228,359.66777778,0.05405193,0.90829564,9
191030_PC_1_8,229,360.41777778,0.05633625,0.6540918,9
191030_PC_1_8,230,361.4175,0.04891065,0.91853655,12
191030_PC_1_8,231,362.33444444,0.03736563,0.73596601,11
191030_PC_1_8,232,363.08444444,0.05861136,0.86081852,9
191030_PC_1_8,233,363.91777778,0.06456841,0.7670714,10
191030_PC_1_8,234,364.91777778,0.04632184,0.83707208,12
191030_PC_1_8,235,366.00111111,0.05181467,0.83847971,13
191030_PC_1_8,236,366.75111111,0.04390384,0.62639995,9
191030_PC_1_8,237,367.58444444,0.0400753,0.7819996,10
191030_PC_1_8,238,368.75111111,0.04952807,0.84524185,14
191030_PC_1_8,239,369.4175,0.0386515,0.54022687,8
191030_PC_1_8,240,370.41777778,0.03732597,0.83085226,12
191030_PC_1_8,241,371.41777778,0.03818864,0.77903717,12
191030_PC_1_8,242,372.16777778,0.05168934,0.86867118,9
191030_PC_1_8,243,373.25111111,0.03688555,0.89970133,13
191030_PC_1_8,244,374.08444444,0.05483363,0.95680318,10
191030_PC_1_8,245,375.16777778,0.03913204,0.78589601,13
191030_PC_1_8,246,375.83444444,0.05881205,0.94271373,8
191030_PC_1_8,247,376.66777778,0.05959774,0.96499012,10
191030_PC_1_8,248,377.91777778,0.04468907,0.89026985,15
191030_PC_1_8,249,378.83444444,0.0382169,0.91810009,11
191030_PC_1_8,250,379.66777778,0.04597583,0.91144799,10
191030_PC_1_8,251,380.50111111,0.04369075,0.87922206,10
191030_PC_1_8,252,381.33444444,0.04945655,0.86516132,10
191030_PC_1_8,253,382.50111111,0.04194477,0.76336407,14
191030_PC_1_8,254,383.25111111,0.06282894,0.94984926,9
191030_PC_1_8,255,384.25111111,0.03989693,0.91417769,12
191030_PC_1_8,256,385.00083333,0.06255406,0.86109422,9
191030_PC_1_8,257,386.08444444,0.04696484,0.92408344,13
191030_PC_1_8,258,386.83444444,0.05584908,0.91349035,9
191030_PC_1_8,259,387.6675,0.05593077,0.88459065,10
191030_PC_1_8,260,388.66777778,0.04794076,0.8616183,12
191030_PC_1_8,261,389.50111111,0.0460894,0.85194738,10
191030_PC_1_8,262,390.41777778,0.04339694,0.80591665,11
191030_PC_1_8,263,391.50111111,0.04227858,0.75137676,15
191030_PC_1_8,263,391.50111111,0.04227858,0.75137676,15
191030_PC_1_8,264,392.41777778,0.04272234,0.1659246,45
191030_PC_1_8,266,393.08444444,0.05207156,0.69879597,7
191030_PC_1_8,267,394.25111111,0.03831228,0.89406596,14
191030_PC_1_8,268,395.25111111,0.04163929,0.94492523,12
191030_PC_1_8,269,396.16777778,0.039923,0.84271536,11
191030_PC_1_8,270,397.00111111,0.04939424,0.86214892,10
191030_PC_1_8,271,398.00111111,0.04717733,0.82598126,12
191030_PC_1_8,272,398.75111111,0.04289606,0.88427646,9
191030_PC_1_8,273,399.91777778,0.04459885,0.9701648,14
191030_PC_1_8,274,400.6675,0.05043126,0.85049673,9
191030_PC_1_8,275,401.66777778,0.04450186,0.83451878,12
191030_PC_1_8,276,402.50111111,0.05011873,0.87629028,10
191030_PC_1_8,277,403.50083333,0.04990836,0.87741865,12
191030_PC_1_8,278,404.25111111,0.0573707,0.76988911,9
191030_PC_1_8,279,405.25111111,0.05015656,0.90505629,12
191030_PC_1_8,280,406.08444444,0.05065694,0.87171893,10
191030_PC_1_8,281,407.25111111,0.03957833,0.93348776,14
191030_PC_1_8,282,407.83444444,0.04907657,0.74773077,7
191030_PC_1_8,283,408.91777778,0.04519906,0.85306941,13
191030_PC_1_8,284,409.75111111,0.04722154,0.88267628,10
191030_PC_1_8,285,410.58444444,0.04475243,0.8036857,10
191030_PC_1_8,286,411.50111111,0.04850771,0.89812235,11
191030_PC_1_8,287,412.33444444,0.04358086,0.84382307,10
191030_PC_1_8,288,413.33444444,0.04472465,0.95505579,12
191030_PC_1_8,289,414.08444444,0.06519133,0.91995027,9
191030_PC_1_8,290,415.16777778,0.04531784,0.8787541,13
191030_PC_1_8,291,415.9175,0.05621805,0.86660102,9
191030_PC_1_8,292,417.08444444,0.04499032,0.95337916,14
191030_PC_1_8,293,417.91777778,0.0515574,0.90134966,10
191030_PC_1_8,294,418.83444444,0.04573874,0.89510145,11
191030_PC_1_8,295,419.83444444,0.04984842,0.86861884,12
191030_PC_1_8,296,420.75083333,0.04670125,0.90937483,11
191030_PC_1_8,297,421.58444444,0.05460474,0.83532596,10
191030_PC_1_8,298,422.66777778,0.03722737,0.81628875,13
191030_PC_1_8,299,423.41777778,0.05539853,0.9203875,9
191030_PC_1_8,300,424.16777778,0.04994087,0.81210656,9
191030_PC_1_8,301,425.00111111,0.04600345,0.78793803,10
191030_PC_1_8,302,426.00083333,0.05109146,0.8852627,12
191030_PC_1_8,303,426.83416667,0.05554881,0.92577091,10
191030_PC_1_8,304,427.66777778,0.05851007,0.96236944,10
191030_PC_1_8,305,428.58444444,0.04634985,0.91930627,11
191030_PC_1_8,306,429.50111111,0.04520071,0.93164745,11
191030_PC_1_8,307,430.33444444,0.05699535,0.9414816,10
191030_PC_1_8,308,431.25111111,0.04656044,0.77869088,11
191030_PC_1_8,326,450.33444444,0.0290031,0.9576503,18
191030_PC_1_8,327,451.25111111,0.04591788,0.96847903,11
191030_PC_1_8,328,452.08444444,0.05165203,0.93283741,10
191030_PC_1_8,329,453.08444444,0.03741635,0.87268976,12
191030_PC_1_8,330,453.75111111,0.0674039,0.94664276,8
191030_PC_1_8,331,454.33444444,0.06211349,0.66551581,7
191030_PC_1_8,332,455.16777778,0.05571707,0.91531688,10
191030_PC_1_8,333,455.83416667,0.06283135,0.92576108,8
191030_PC_1_8,334,456.1675,0.12563626,0.91637076,4
191030_PC_1_8,335,459.25111111,0.04537307,0.98499529,37
191030_PC_1_8,336,460.08444444,0.04050461,0.88278255,10
191030_PC_1_8,337,460.9175,0.0517487,0.90961132,10
191030_PC_1_8,338,461.91777778,0.04374697,0.84546668,12
191030_PC_1_8,339,462.83444444,0.04342365,0.81958021,11
191030_PC_1_8,340,463.58416667,0.041251,0.76432428,9
191030_PC_1_8,341,464.75111111,0.04146087,0.9370885,14
191030_PC_1_8,342,465.58444444,0.04789402,0.8744147,10
191030_PC_1_8,343,466.50111111,0.04178893,0.90582206,11
191030_PC_1_8,344,467.4175,0.05291509,0.92956927,11
191030_PC_1_8,345,468.33416667,0.04193176,0.8900514,11
191030_PC_1_8,346,469.41777778,0.03891026,0.88499281,13
191030_PC_1_8,347,470.08444444,0.04297196,0.87773149,8
191030_PC_1_8,348,471.00111111,0.05457634,0.86429611,11
191030_PC_1_8,349,472.08444444,0.04012974,0.84028721,13
191030_PC_1_8,350,472.66777778,0.07254817,0.65563453,7
191030_PC_1_6,193,375.9175,0.03234561,0.8966055,12
191030_PC_1_6,194,376.6675,0.05533765,0.68217412,9
191030_PC_1_6,195,378.08388889,0.03748295,0.93188287,17
191030_PC_1_6,196,379.1675,0.04273786,0.84901149,13
191030_PC_1_6,197,380.33416667,0.04289557,0.87957029,14
191030_PC_1_6,198,381.4175,0.03950419,0.86956773,13
191030_PC_1_6,199,382.33416667,0.05455256,0.94787853,11
191030_PC_1_6,200,383.50083333,0.03551025,0.87740289,14
