sample_id,decision,time_h,slope,r.squared,w_size
191226_PC_2_3,101,647.59944444,0.01320304,0.91797233,59
191226_PC_2_3,102,651.7675,0.013611,0.91810253,50
191226_PC_2_3,103,655.7675,0.01158071,0.8947467,48
191226_PC_2_3,104,660.68277778,0.01269834,0.87879623,59
191226_PC_2_3,105,665.43277778,0.01298974,0.88549062,57
191226_PC_2_3,106,670.93277778,0.01193676,0.84691455,66
191226_PC_2_3,107,675.18277778,0.00964068,0.82691196,51
191226_PC_2_3,108,680.76611111,0.01225154,0.89806954,67
191226_PC_2_3,109,686.09972222,0.01461038,0.92958815,64
191226_PC_2_3,110,690.43277778,0.01014462,0.87068022,52
191226_PC_2_3,111,695.68277778,0.01488457,0.93008679,63
191226_PC_2_3,112,700.51638889,0.01443384,0.93964843,58
191226_PC_2_3,113,706.51611111,0.01097532,0.90615655,72
191226_PC_2_3,114,711.59944444,0.0094427,0.82794593,61
191226_PC_2_3,115,717.01611111,0.01333708,0.91692994,65
191226_PC_2_3,116,722.51611111,0.01171589,0.87379256,66
191226_PC_2_3,117,727.09944444,0.01170127,0.87017263,55
191226_PC_2_3,118,731.76611111,0.01168452,0.93020069,56
191226_PC_2_3,119,737.09944444,0.01014499,0.91515989,64
191226_PC_2_3,120,741.34944444,0.01702243,0.84292114,51
191226_PC_2_3,121,746.68277778,0.01166039,0.93721754,64
191226_PC_2_3,122,750.18277778,0.01251274,0.928151,42
191226_PC_2_3,123,756.01611111,0.01142062,0.93165808,70
191226_PC_2_3,124,760.59944444,0.01189481,0.91857534,55
191226_PC_2_3,125,764.68277778,0.0133034,0.90010688,49
191226_PC_2_3,126,769.2675,0.01185208,0.88655577,55
191226_PC_2_3,127,774.43277778,0.01384974,0.92107967,62
191226_PC_2_3,128,778.59944444,0.01079998,0.79889249,50
191226_PC_2_3,129,783.09944444,0.01337346,0.90043859,54
191226_PC_2_3,130,788.01777778,0.01557346,0.94416417,59
191226_PC_2_3,131,793.0175,0.0101395,0.89036322,60
191226_PC_2_3,132,797.76777778,0.00905218,0.87785701,57
191226_PC_2_3,133,802.43277778,0.01396807,0.92057828,56
191226_PC_2_3,134,807.34944444,0.01030497,0.88367696,59
191226_PC_2_3,135,811.7675,0.01370501,0.88448079,53
191226_PC_2_3,136,814.26611111,0.01276951,0.47308508,30
191226_PC_2_4,68,501.51777778,0.02466741,0.8556245,19
191226_PC_2_4,69,504.09972222,0.01889259,0.84208518,31
191226_PC_2_4,70,507.43305556,0.01852743,0.91250534,40
191226_PC_2_4,71,511.26777778,0.01494072,0.85313047,46
191226_PC_2_4,72,515.18277778,0.01599764,0.94033667,47
191226_PC_2_4,73,518.93305556,0.01798851,0.93785937,45
191226_PC_2_4,74,522.34944444,0.01598897,0.89042533,41
191226_PC_2_4,75,526.43277778,0.01881609,0.91412781,49
191226_PC_2_4,76,529.93277778,0.01622264,0.87015146,42
191226_PC_2_4,77,533.34944444,0.01939041,0.86251581,41
191226_PC_2_4,78,537.18305556,0.01562422,0.8808029,46
191226_PC_2_4,79,541.26777778,0.01719565,0.92153212,49
191226_PC_2_4,80,545.68277778,0.01552144,0.92504403,53
191226_PC_2_4,81,549.34944444,0.01361227,0.89263262,44
191226_PC_2_4,82,553.43305556,0.01641611,0.92085616,49
191226_PC_2_4,83,557.59972222,0.01384368,0.88797484,50
191226_PC_2_4,84,561.59944444,0.01291866,0.89654013,48
191226_PC_2_4,85,565.84944444,0.01342878,0.8886091,51
191226_PC_2_4,86,570.09944444,0.01426332,0.91239222,51
191226_PC_2_4,87,572.68305556,0.01736189,0.8312403,31
191226_PC_2_4,88,576.43277778,0.01581762,0.92369388,45
191226_PC_2_4,89,580.59944444,0.01598045,0.91501187,50
191226_PC_2_4,90,584.59972222,0.01629393,0.93485821,48
191226_PC_2_4,91,588.84972222,0.01382692,0.92431629,51
191226_PC_2_4,92,592.43305556,0.01545779,0.94969983,43
191226_PC_2_4,93,596.01777778,0.0161208,0.89782911,43
191226_PC_2_4,94,599.5175,0.0181461,0.90741592,42
191226_PC_2_4,95,603.0175,0.01741414,0.95116211,42
191226_PC_2_4,96,606.68277778,0.01355167,0.86403246,44
191226_PC_2_4,97,611.01777778,0.01579908,0.93502153,52
191226_PC_2_4,98,614.7675,0.01771384,0.9036528,45
191226_PC_2_4,99,618.01777778,0.01768603,0.90861642,39
191226_PC_2_4,100,621.59972222,0.01759584,0.93276518,43
191226_PC_2_4,101,624.84972222,0.01898852,0.92653606,39
191226_PC_2_4,102,628.26777778,0.01556896,0.90082782,41
191226_PC_2_4,103,631.93277778,0.01545327,0.90421725,44
191226_PC_2_4,104,635.7675,0.01575945,0.95554129,46
191226_PC_2_4,105,638.84944444,0.01789382,0.90943126,37
191226_PC_2_4,106,642.18277778,0.0165481,0.90168441,40
191226_PC_2_4,107,646.68305556,0.01632553,0.94256472,54
191226_PC_2_4,108,650.18277778,0.01726783,0.92173401,42
191226_PC_2_4,109,654.18277778,0.01516419,0.92658739,48
191226_PC_2_4,110,658.2675,0.01453808,0.94121579,49
191226_PC_2_4,111,662.09972222,0.01593215,0.93978875,46
191226_PC_2_4,112,665.84972222,0.01514241,0.93870225,45
191226_PC_2_4,113,669.93305556,0.0155682,0.91107423,49
191226_PC_2_4,114,673.93277778,0.01432813,0.92422079,48
191226_PC_2_4,115,677.68277778,0.01507454,0.93458556,45
191226_PC_2_4,116,682.09972222,0.01258132,0.8690981,53
191226_PC_2_4,117,686.34972222,0.01407608,0.94298807,51
191226_PC_2_4,118,690.84972222,0.01182798,0.89868566,54
191226_PC_2_4,119,695.34944444,0.0150951,0.94751408,54
191226_PC_2_4,120,699.01611111,0.01560347,0.916924,44
191226_PC_2_4,121,703.59944444,0.01504615,0.92657667,55
191226_PC_2_4,122,707.18277778,0.01404605,0.90165986,43
191226_PC_2_4,123,711.09972222,0.01564233,0.94953581,47
191226_PC_2_4,124,715.34972222,0.012372,0.92031508,51
191226_PC_2_4,125,719.43305556,0.01563076,0.92829217,49
191226_PC_2_4,126,723.43305556,0.01304355,0.92951835,48
191226_PC_2_4,127,727.18305556,0.0139116,0.8947541,45
191226_PC_2_4,128,731.43277778,0.01689714,0.93763725,51
191226_PC_2_4,129,735.43305556,0.01382397,0.94754916,48
191226_PC_2_4,130,739.18305556,0.01739041,0.89783996,45
191226_PC_2_4,131,742.84972222,0.01328129,0.86346285,44
191226_PC_2_4,132,746.34972222,0.0154821,0.89958959,42
191226_PC_2_4,133,750.09972222,0.01354377,0.91743254,45
191226_PC_2_4,134,754.34972222,0.01607311,0.93316927,51
191226_PC_2_4,135,757.68305556,0.01705555,0.88936279,40
191226_PC_2_4,136,761.26638889,0.01621095,0.94874476,43
191226_PC_2_4,137,765.01611111,0.01593937,0.92788665,45
191226_PC_2_4,138,767.43277778,0.01739965,0.86608271,29
191226_PC_2_4,139,771.01777778,0.01467815,0.85495238,43
191226_PC_2_4,140,775.09944444,0.0165905,0.93295025,49
191226_PC_2_4,141,778.43305556,0.01552736,0.87823735,40
191226_PC_2_4,142,782.09944444,0.01728674,0.9265784,44
191226_PC_2_4,143,785.09972222,0.01679338,0.92783609,36
191226_PC_2_4,144,788.51777778,0.01633505,0.92705516,41
191226_PC_2_4,145,791.51777778,0.01680881,0.91809813,36
191226_PC_2_4,146,794.51777778,0.01784162,0.90761763,36
191226_PC_2_4,147,797.76777778,0.02088715,0.95049862,39
191226_PC_2_4,148,800.84972222,0.01992697,0.89413552,37
191226_PC_2_4,149,803.59944444,0.01724919,0.93763827,33
191226_PC_2_4,150,806.34972222,0.02086074,0.90120923,33
191226_PC_2_4,151,809.51611111,0.0191651,0.91042043,38
191226_PC_2_4,152,812.43277778,0.01880693,0.91973857,35
191226_PC_2_4,153,814.26638889,0.01941197,0.62978953,22
200116_PC_3_1,211,902.59916667,0.01535179,0.11457636,32
200116_PC_3_1,212,905.26722222,0.03844118,0.27822155,32
200116_PC_3_1,213,905.9325,0.2822386,0.36280076,8
200116_PC_3_1,214,908.01722222,0.092552980000000007,0.32838554,25
200116_PC_3_1,215,912.4325,0.02863572,0.56795231,53
200116_PC_3_1,216,918.34916667,0.00956062,0.44712034,71
200116_PC_3_1,217,921.1825,0.01792448,0.20981603,34
200116_PC_3_1,218,921.6825,1.23428741,0.63742501,6
200116_PC_3_1,219,927.09916667,0.02357703,0.3886308,65
200116_PC_3_1,221,929.9325,0.04577925,0.51619329,31
200116_PC_3_1,222,931.6825,0.06271506,0.4408559,21
200116_PC_3_1,223,932.1825,0.39740674,0.50017938,6
200116_PC_3_1,225,934.51722222,0.09789003,0.52081786,25
200116_PC_3_1,226,939.4325,0.03627199,0.52011854,59
200116_PC_3_1,227,940.51722222,0.1043566,0.34823013,13
200116_PC_3_1,228,945.6825,0.0215716,0.56338605,62
200116_PC_3_1,229,952.1825,0.01211017,0.32376668,78
200116_PC_3_1,230,956.26722222,0.01178039,0.27110462,49
200116_PC_3_1,231,961.26722222,0.01710044,0.32012628,60
200116_PC_3_1,232,968.09916667,0.01313114,0.65894021,82
200116_PC_3_1,233,970.01722222,0.03335498,0.15866136,23
200116_PC_3_1,234,973.34916667,0.02883858,0.39083531,40
200116_PC_3_1,235,982.01722222,0.01317809,0.73297054,104
200116_PC_3_1,236,987.9325,0.01466874,0.56447619,71
200116_PC_3_1,238,994.9325,0.01145459,0.31385415,75
200116_PC_3_1,239,996.84916667,0.04006934,0.25426213,23
200116_PC_3_1,240,998.59916667,0.0849075,0.35243595,21
200116_PC_3_1,241,1005.01583333,0.02129809,0.58483178,77
200116_PC_3_1,242,1010.34916667,0.0091901,0.15916286,64
200116_PC_3_1,243,1015.84916667,0.01161908,0.51920581,66
200116_PC_3_1,244,1020.26583333,0.01578929,0.35596147,53
200116_PC_3_1,245,1020.84916667,0.38323933,0.29110487,7
200116_PC_3_1,246,1029.6825,0.01296517,0.57529707,106
200116_PC_3_1,247,1032.59916667,0.02023389,0.17444395,35
200116_PC_3_1,248,1033.1825,0.27032717,0.32526228,7
200116_PC_3_1,249,1035.4325,0.06551641,0.40869163,27
200116_PC_3_1,250,1042.1825,0.01473655,0.37088837,81
200116_PC_3_1,251,1043.26722222,0.08065796,0.31213804,13
200116_PC_3_1,253,1047.84916667,0.03708634,0.6112925,52
200116_PC_3_1,254,1049.09916667,0.08457511,0.27246041,15
