"Bucket label","RT","m/z","Name","Formula","202002_TTP_SILS2665_RA_1_1 _merged_","202002_TTP_SILS2666_RA_1_1 _merged_","202002_TTP_SILS2667_R1_1 _merged_","202002_TTP_SILS2668_R_1_1 _merged_","202002_TTP_SILS2669_R_1_ _merged_","202002_TTP_SILS2670_R_1_ _merged_"
"583.36586 Da 41.76 s",0.70,584.37313,,"C23H61N5O3S4",2686.0,2138.0,2196.0,2286.0,1944.0,1880.0
"612.36252 Da 41.82 s",0.70,613.36980,,"C29H40N16",2496.0,2442.0,2394.0,2410.0,2260.0,2114.0
"359.19461 Da 41.91 s",0.70,360.20188,,"C17H29NO7",4492.0,4054.0,3608.0,3650.0,3576.0,3420.0
"399.26196 Da 41.92 s",0.70,400.26924,,"C21H37NO6",6682.0,6928.0,5578.0,5336.0,6038.0,4872.0
"389.32968 Da 42.08 s",0.70,390.33695,,"C18H43N7S",1860.0,2168.0,1650.0,1640.0,1452.0,1670.0
"374.24124 Da 42.08 s",0.70,188.12790,,,1404.0,1366.0,1064.0,1032.0,900.0,896.0
"515.27418 Da 42.17 s",0.70,516.28146,,"C19H53N3O2S5",1724.0,1654.0,1414.0,1330.0,1294.0,1302.0
"487.24254 Da 42.20 s",0.70,488.24982,,"C21H25N15",2714.0,2556.0,2350.0,2642.0,2072.0,1812.0
"233.14187 Da 42.22 s",0.70,234.14915,,"C14H19NO2",4710.0,4424.0,1728.0,2224.0,2600.0,1836.0
"555.43532 Da 42.30 s",0.71,556.44260,,"C21H61N7O7S",1518.0,1528.0,1816.0,1262.0,1420.0,1652.0
"373.21048 Da 42.38 s",0.71,374.21776,,"C11H31N7O5S",3690.0,4108.0,3162.0,3256.0,2974.0,2672.0
"249.13653 Da 42.38 s",0.71,250.14380,,"C14H19NO3",16350.0,23168.0,5850.0,8060.0,7816.0,5670.0
"511.40879 Da 42.43 s",0.71,512.41607,,"C21H54N9O3P",1590.0,1802.0,1616.0,1510.0,1610.0,1676.0
"475.24166 Da 42.46 s",0.71,476.24894,,"C20H25N15",4066.0,3732.0,3246.0,3282.0,3604.0,3492.0
"289.26182 Da 42.46 s",0.71,290.26910,,"C16H35NO3",2512.0,2956.0,2640.0,2842.0,2432.0,2524.0
"537.33048 Da 42.54 s",0.71,538.33776,,"C29H47NO8",4414.0,5678.0,5300.0,4506.0,4218.0,4282.0
"329.18423 Da 42.55 s",0.71,330.19150,,"C9H27N7O4S",5694.0,6262.0,6142.0,4958.0,4846.0,4526.0
"525.42441 Da 42.56 s",0.71,526.43169,,"C22H56N9O3P",4262.0,5684.0,4578.0,4230.0,4330.0,4378.0
"193.11040 Da 42.57 s",0.71,194.11768,,"C11H15NO2",1980.0,1838.0,1238.0,1588.0,1528.0,1014.0
"762.46975 Da 42.62 s",0.71,382.24215,,,1800.0,1614.0,1258.0,1108.0,0.0,0.0
"569.45104 Da 42.64 s",0.71,570.45831,,"C24H60N9O4P",4378.0,4484.0,4262.0,4186.0,3972.0,4692.0
"481.39850 Da 42.65 s",0.71,482.40577,,"C26H51N5O3",3672.0,3822.0,3260.0,3292.0,3790.0,3510.0
"467.38248 Da 42.66 s",0.71,468.38976,,"C24H53NO7",1846.0,1956.0,2150.0,1764.0,1890.0,2152.0
"745.55601 Da 42.73 s",0.71,746.56329,,,1962.0,1692.0,2516.0,1888.0,1770.0,2078.0
"489.25906 Da 42.74 s",0.71,490.26634,,,2574.0,2296.0,1806.0,1738.0,2208.0,2076.0
"551.34462 Da 42.74 s",0.71,552.35190,,"C27H41N11O2",28868.0,31886.0,32382.0,29344.0,27120.0,29558.0
"447.25927 Da 42.74 s",0.71,448.26655,,,8860.0,9376.0,8658.0,7932.0,6688.0,7380.0
"613.47733 Da 42.74 s",0.71,614.48461,,"C26H64N9O5P",3720.0,5100.0,4660.0,4468.0,3924.0,4168.0
"545.32249 Da 42.78 s",0.71,546.32976,,"C18H52N5O9PS",1986.0,0.0,1048.0,1056.0,700.0,0.0
"315.16969 Da 42.79 s",0.71,316.17697,,"C16H21N5O2",3948.0,3678.0,0.0,3368.0,3464.0,3442.0
"632.34298 Da 42.85 s",0.71,633.35026,,,8472.0,8758.0,10346.0,9786.0,8996.0,11192.0
"387.19210 Da 42.89 s",0.71,388.19938,,"C20H21N9",2528.0,2952.0,1994.0,2000.0,2210.0,1672.0
"536.33379 Da 42.91 s",0.72,269.17417,,,0.0,2534.0,1540.0,2128.0,2002.0,1612.0
"511.31378 Da 42.92 s",0.72,512.32106,,,10648.0,10738.0,9786.0,8790.0,9100.0,9282.0
"657.50398 Da 42.92 s",0.72,658.51125,,"C28H68N9O6P",3398.0,3516.0,3366.0,3576.0,3040.0,3960.0
"758.43798 Da 42.92 s",0.72,380.22626,,,2536.0,2896.0,1464.0,1466.0,1698.0,1050.0
"701.52934 Da 42.92 s",0.72,702.53662,,"C30H72N9O7P",2346.0,2314.0,2928.0,2440.0,2270.0,3050.0
"532.30120 Da 42.97 s",0.72,533.30848,,"C23H49O11P",1358.0,1160.0,874.0,908.0,1056.0,758.0
"166.09920 Da 42.98 s",0.72,167.10648,,"C10H14O2",3180.0,3664.0,2376.0,2842.0,3060.0,2272.0
