"Bucket label","RT","m/z","Name","Formula","202002_TTP_SILS2665_RA_1_1 _merged_","202002_TTP_SILS2666_RA_1_1 _merged_","202002_TTP_SILS2667_R1_1 _merged_","202002_TTP_SILS2668_R_1_1 _merged_","202002_TTP_SILS2669_R_1_ _merged_","202002_TTP_SILS2670_R_1_ _merged_"
"435.33276 Da 171.69 s",2.86,436.34003,,"C15H41N13S",1414.0,1222.0,1370.0,1416.0,1212.0,1470.0
"379.29343 Da 176.35 s",2.94,380.30071,,"C19H41NO6",992.0,1036.0,1224.0,1236.0,1184.0,1044.0
"314.15558 Da 176.84 s",2.95,315.16285,,"C9H26N6O2S2",2036.0,2050.0,2140.0,2294.0,1936.0,1900.0
"167.60690 Da 177.50 s",2.96,168.61418,,,1314.0,1138.0,1214.0,1078.0,1322.0,1206.0
"312.15961 Da 178.15 s",2.97,313.16688,,"C15H25N2O3P",4728.0,5078.0,5316.0,4850.0,4838.0,4830.0
"275.21377 Da 178.59 s",2.98,276.22104,,"C12H29N5S",1782.0,1898.0,1772.0,0.0,0.0,0.0
"594.50458 Da 178.84 s",2.98,595.51186,,,1010.0,1050.0,946.0,1092.0,838.0,1074.0
"806.67029 Da 178.90 s",2.98,807.67757,,,1554.0,1320.0,1486.0,1766.0,1716.0,1582.0
"373.19279 Da 179.23 s",2.99,374.20006,,"C11H31N7O3S2",1860.0,1988.0,1890.0,1966.0,1736.0,1656.0
"416.36272 Da 181.65 s",3.03,417.37000,,"C24H44N6",1220.0,1196.0,1020.0,944.0,1036.0,870.0
"442.26081 Da 191.81 s",3.20,443.26808,,"C21H46O3S3",1630.0,962.0,1156.0,1234.0,1126.0,708.0
"802.53684 Da 196.96 s",3.28,803.54411,,,1932.0,1022.0,0.0,574.0,0.0,0.0
"278.15187 Da 198.30 s",3.31,279.15915,,"C16H22O4",1620.0,1344.0,768.0,1040.0,832.0,704.0
"392.29082 Da 204.43 s",3.41,393.29810,,"C13H36N12S",3962.0,2742.0,1784.0,2380.0,1834.0,1154.0
"337.33462 Da 213.82 s",3.56,338.34189,,"C22H43NO",1108.0,1278.0,1094.0,1288.0,1186.0,1442.0
"437.38698 Da 224.19 s",3.74,438.39426,,"C27H51NO3",1316.0,1418.0,1302.0,1564.0,1770.0,1358.0
"392.28950 Da 238.14 s",3.97,393.29678,,"C20H44N2OS2",1216.0,894.0,1062.0,988.0,996.0,908.0
"996.65178 Da 239.30 s",3.99,499.33317,,,5932.0,5372.0,0.0,0.0,5714.0,5466.0
"225.94379 Da 239.83 s",4.00,226.95106,,"C6H2N4S3",986.0,1020.0,898.0,0.0,1504.0,956.0
"320.30823 Da 247.18 s",4.12,321.31550,,"C22H40O",1398.0,1300.0,1354.0,1350.0,1484.0,1350.0
"567.41438 Da 247.49 s",4.12,568.42166,,"C33H61NO2S2",1034.0,750.0,980.0,1010.0,760.0,892.0
"148.01556 Da 249.17 s",4.15,149.02284,,,1134.0,1152.0,1356.0,1202.0,1240.0,1284.0
"407.30269 Da 250.00 s",4.17,408.30996,,"C18H42N5O3P",910.0,1052.0,884.0,912.0,1050.0,772.0
"440.29156 Da 250.17 s",4.17,441.29884,,"C22H41N4O3P",3836.0,3264.0,3184.0,3284.0,2828.0,2768.0
"412.25930 Da 250.64 s",4.18,413.26658,,"C19H41O7P",7002.0,6736.0,7706.0,7504.0,7360.0,7566.0
"665.53015 Da 251.02 s",4.18,666.53743,,"C33H71N5O8",1058.0,960.0,1266.0,1220.0,1176.0,1068.0
"303.24571 Da 251.14 s",4.19,304.25299,,"C14H33N5S",884.0,738.0,1040.0,1072.0,1138.0,944.0
"606.49114 Da 251.39 s",4.19,607.49842,,"C28H58N14O",5324.0,5354.0,6114.0,5778.0,5994.0,5434.0
"340.19132 Da 251.48 s",4.19,341.19860,,"C17H29N2O3P",2884.0,2728.0,2658.0,2946.0,2534.0,2644.0
"249.17054 Da 251.87 s",4.20,250.17782,,"C11H19N7",1086.0,1026.0,1046.0,1104.0,1016.0,1030.0
"273.26721 Da 252.04 s",4.20,274.27449,,"C16H35NO2",1624.0,1416.0,1290.0,1486.0,1336.0,1392.0
"181.62264 Da 253.37 s",4.22,182.62991,,,1030.0,906.0,984.0,1078.0,1134.0,1100.0
"458.41013 Da 256.34 s",4.27,459.41741,,"C27H50N6",1078.0,1010.0,682.0,932.0,1028.0,868.0
"455.39765 Da 264.11 s",4.40,456.40492,,"C27H53NO4",4536.0,4210.0,4478.0,4784.0,5060.0,4258.0
"337.33481 Da 284.32 s",4.74,338.34208,,"C22H43NO",944.0,1020.0,1128.0,1066.0,1142.0,1166.0
"413.26270 Da 290.53 s",4.84,414.26998,,"C13H36N9O4P",980.0,954.0,1028.0,1032.0,1234.0,1052.0
"505.33791 Da 293.35 s",4.89,506.34518,,"C18H51N9OS3",1680.0,1776.0,1874.0,1914.0,1960.0,1886.0
"418.22770 Da 303.69 s",5.06,419.23497,,"C15H46O4S4",1410.0,1426.0,1260.0,1662.0,1372.0,1386.0
"678.44099 Da 356.26 s",5.94,679.44827,,"C45H54N6",1100.0,992.0,0.0,842.0,1152.0,824.0
"483.42892 Da 358.86 s",5.98,484.43619,,"C29H57NO4",2724.0,2436.0,2970.0,2650.0,2908.0,2618.0
"934.56561 Da 363.31 s",6.06,935.57288,,,1474.0,1070.0,0.0,1464.0,1176.0,0.0
"533.36919 Da 397.14 s",6.62,534.37647,,"C20H55N9OS3",1286.0,1296.0,1222.0,1362.0,1614.0,1148.0
"310.24996 Da 414.82 s",6.91,311.25724,,"C19H34O3",1230.0,1004.0,1604.0,976.0,940.0,564.0
"590.41110 Da 422.32 s",7.04,591.41838,,"C23H46N18O",2200.0,1430.0,1370.0,860.0,0.0,0.0
"931.62544 Da 438.84 s",7.31,932.63272,,"C42H91N7O11P2",12676.0,9046.0,0.0,9116.0,6148.0,2514.0
"1004.56862 Da 438.94 s",7.32,1005.57590,,,1286.0,938.0,0.0,1156.0,794.0,0.0
"936.57993 Da 439.07 s",7.32,937.58721,,"C45H85N4O14P",28796.0,19424.0,0.0,20118.0,14474.0,5284.0
"752.54409 Da 439.24 s",7.32,753.55137,,"C36H84N2O7S3",1616.0,1216.0,1146.0,1150.0,948.0,0.0
"952.54480 Da 439.36 s",7.32,477.27968,,,3976.0,2806.0,3268.0,2650.0,2460.0,946.0
"588.47590 Da 442.60 s",7.38,589.48317,,"C22H60N12O6",2306.0,1702.0,2068.0,2206.0,1412.0,1088.0
"568.44750 Da 444.86 s",7.41,569.45477,,"C23H65N6O5PS",1260.0,798.0,832.0,1042.0,742.0,0.0
"608.31834 Da 462.98 s",7.72,609.32561,,,2106.0,2152.0,2058.0,1990.0,2192.0,2070.0
"426.24358 Da 463.28 s",7.72,427.25086,,"C15H34N6O8",1022.0,1162.0,1034.0,1074.0,1208.0,1130.0
"760.51054 Da 465.50 s",7.76,761.51781,,"C20H61N26O4P",2450.0,1654.0,1808.0,2020.0,1460.0,846.0
"748.51204 Da 478.36 s",7.97,749.51932,,"C28H84N4O9S4",1560.0,1012.0,1296.0,0.0,0.0,0.0
"938.59806 Da 512.03 s",8.53,939.60533,,"C42H93N4O12P3",5030.0,3198.0,4300.0,3838.0,3594.0,1258.0
"933.64148 Da 512.46 s",8.54,934.64876,,,2358.0,1490.0,0.0,2002.0,1526.0,0.0
"336.26663 Da 512.73 s",8.55,337.27390,,"C21H36O3",1416.0,1008.0,1088.0,1140.0,832.0,0.0
"574.49687 Da 512.98 s",8.55,575.50414,,"C30H66N6O2S",1190.0,998.0,882.0,1166.0,758.0,0.0
"395.41290 Da 524.43 s",8.74,396.42017,,"C26H53NO",1428.0,1294.0,1426.0,1286.0,1244.0,1550.0
"854.47347 Da 530.03 s",8.83,855.48075,,"C52H74N2S4",1256.0,966.0,1142.0,858.0,0.0,0.0
"808.46484 Da 530.53 s",8.84,405.23970,,,1690.0,0.0,1312.0,0.0,968.0,0.0
"842.51498 Da 531.31 s",8.86,843.52226,,,3768.0,3432.0,4196.0,3818.0,2880.0,2010.0
"836.49873 Da 531.88 s",8.86,837.50600,,,2284.0,1708.0,1802.0,1966.0,1652.0,1022.0
"769.56875 Da 531.88 s",8.86,770.57602,,"C37H80N5O9P",40024.0,28266.0,34646.0,32460.0,23740.0,13574.0
"790.49193 Da 532.24 s",8.87,396.25324,,"C27H66N16O9S",7030.0,4938.0,5064.0,5106.0,0.0,2042.0
"474.31968 Da 532.57 s",8.88,475.32695,,"C20H43N8O3P",1638.0,1442.0,1260.0,1182.0,896.0,0.0
"260.21419 Da 532.62 s",8.88,261.22146,,"C18H28O",3546.0,2410.0,2390.0,2596.0,1948.0,1100.0
"148.01534 Da 537.53 s",8.96,149.02262,,,1070.0,1040.0,882.0,852.0,872.0,978.0
"312.26612 Da 586.22 s",9.77,313.27339,,"C19H36O3",1924.0,1380.0,1724.0,1346.0,902.0,712.0
"310.25011 Da 586.78 s",9.78,311.25739,,"C19H34O3",1668.0,1406.0,1532.0,1204.0,986.0,746.0
"745.57037 Da 586.86 s",9.78,746.57765,,"C24H63N27O",2820.0,1986.0,1886.0,1616.0,1360.0,730.0
"750.52607 Da 587.42 s",9.79,751.53335,,"C25H62N22O5",8136.0,5348.0,6522.0,4732.0,3726.0,2222.0
"792.50764 Da 619.40 s",10.32,397.26110,,,1570.0,1336.0,1444.0,1234.0,1020.0,598.0
"844.53234 Da 619.70 s",10.33,845.53961,,"C24H65N26O6P",1658.0,1304.0,1122.0,1188.0,772.0,0.0
"336.26632 Da 620.64 s",10.34,337.27359,,"C21H36O3",3730.0,2870.0,2824.0,2748.0,2090.0,1244.0
"148.01542 Da 653.47 s",10.89,149.02269,,,1034.0,1022.0,0.0,0.0,924.0,1054.0
"764.54307 Da 668.95 s",11.15,765.55034,,,1404.0,1034.0,1248.0,1328.0,1040.0,670.0
"761.39212 Da 674.98 s",11.25,381.70334,,"C26H52N17O8P",2348.0,2128.0,1700.0,1792.0,1644.0,1418.0
"735.53529 Da 675.02 s",11.25,736.54257,,"C36H81NO9S2",1098.0,978.0,1272.0,1196.0,1402.0,1254.0
"746.39672 Da 675.39 s",11.26,747.40400,,,3478.0,3190.0,0.0,3876.0,0.0,3640.0
"759.42842 Da 675.57 s",11.26,380.72149,,,4320.0,4296.0,4316.0,5126.0,4698.0,4756.0
"388.71917 Da 675.70 s",11.26,389.72645,,,1096.0,1008.0,1216.0,1218.0,1290.0,1420.0
"679.47136 Da 676.24 s",11.27,680.47864,,"C44H61N3O3",54350.0,50796.0,55790.0,59048.0,53376.0,55366.0
"741.42096 Da 676.24 s",11.27,371.71776,,"C33H59N9O8S",5096.0,4350.0,4876.0,5434.0,5026.0,5114.0
"730.48396 Da 676.61 s",11.28,731.49123,,,2096.0,1730.0,2420.0,2348.0,2202.0,2122.0
"800.42335 Da 676.78 s",11.28,401.21895,,,2106.0,1642.0,1772.0,1696.0,1604.0,1436.0
"752.41477 Da 677.00 s",11.28,753.42205,,"C44H56N4O7",4752.0,4402.0,5026.0,5470.0,5426.0,5070.0
"1362.84323 Da 677.07 s",11.28,682.42889,,,1358.0,1480.0,1764.0,1776.0,1850.0,1664.0
"1440.99924 Da 677.20 s",11.29,721.50690,,,2656.0,2568.0,2754.0,2772.0,2726.0,2626.0
"764.37163 Da 677.25 s",11.29,765.37891,,,1818.0,2144.0,1638.0,1568.0,1510.0,1532.0
"663.41248 Da 677.26 s",11.29,664.41976,,"C34H58N5O6P",4352.0,3956.0,4140.0,4728.0,4270.0,4376.0
"818.46892 Da 677.43 s",11.29,410.24173,,,1540.0,1370.0,1240.0,1286.0,1490.0,0.0
"707.50391 Da 677.53 s",11.29,708.51119,,"C31H61N15O4",5776.0,5974.0,5834.0,7882.0,6930.0,9808.0
"550.32224 Da 677.92 s",11.30,551.32952,,"C25H50N4O5S2",1022.0,1222.0,1132.0,1216.0,1070.0,1110.0
"351.67199 Da 678.07 s",11.30,352.67927,,,0.0,1046.0,1058.0,1112.0,812.0,616.0
"763.56767 Da 678.25 s",11.30,764.57495,,"C30H83N7O10P2",968.0,1214.0,1104.0,1156.0,1200.0,980.0
"1347.88800 Da 679.85 s",11.33,1348.89527,,"C53H133N23S8",740.0,840.0,0.0,1008.0,1000.0,848.0
"148.01570 Da 707.39 s",11.79,149.02298,,"C8H4O3",876.0,900.0,1046.0,1036.0,954.0,1022.0
"752.54170 Da 737.17 s",12.29,753.54898,,"C30H77N10O7PS",6500.0,5084.0,6170.0,3042.0,3222.0,1712.0
"747.58830 Da 738.03 s",12.30,748.59557,,"C28H69N21O3",1996.0,1800.0,1642.0,912.0,1142.0,0.0
"773.60275 Da 756.15 s",12.60,774.61003,,"C26H67N27O",4078.0,2864.0,3000.0,3020.0,2372.0,1292.0
"778.55723 Da 756.99 s",12.62,779.56451,,"C33H80N8O8P2",13220.0,9910.0,8626.0,9076.0,6936.0,3878.0
"338.28223 Da 757.15 s",12.62,339.28950,,"C21H38O3",1924.0,1406.0,1454.0,1636.0,1152.0,0.0
"225.94396 Da 766.89 s",12.78,226.95124,,"C6H2N4S3",2718.0,2486.0,2372.0,0.0,4074.0,2616.0
"750.39850 Da 766.96 s",12.78,751.40577,,,1084.0,1108.0,0.0,1316.0,1172.0,1152.0
"683.19675 Da 778.33 s",12.97,684.20403,,,1564.0,1602.0,1594.0,1186.0,1450.0,1054.0
"916.57737 Da 798.02 s",13.30,915.57009,,,2444.0,3124.0,2710.0,1472.0,568.0,858.0
"891.53290 Da 802.46 s",13.37,892.54018,,"C42H86NO12PS2",5310.0,2700.0,1760.0,0.0,0.0,0.0
"892.54105 Da 803.03 s",13.38,893.54833,,"C52H81N2O4PS2",15308.0,9098.0,4882.0,818.0,0.0,0.0
"870.56984 Da 803.03 s",13.38,871.57712,,"C51H84O7P2",79536.0,46326.0,28782.0,0.0,938.0,0.0
"354.27479 Da 810.02 s",13.50,355.28207,,"C17H34N6O2",882.0,1008.0,960.0,1018.0,876.0,902.0
"766.56206 Da 811.84 s",13.53,767.56934,,,1354.0,1144.0,1458.0,0.0,988.0,722.0
"220.16776 Da 813.38 s",13.56,221.17504,,"C11H24O4",1162.0,1170.0,1132.0,1228.0,1110.0,1236.0
"481.45001 Da 813.95 s",13.57,482.45729,,"C23H59N7OS",2468.0,2136.0,2138.0,2602.0,2192.0,2264.0
"467.43411 Da 814.60 s",13.58,468.44138,,"C22H65N3S3",1412.0,1498.0,1106.0,1476.0,1446.0,1330.0
"761.52255 Da 814.64 s",13.58,762.52983,,"C29H59N23O2",2320.0,2424.0,2414.0,2064.0,1418.0,826.0
"407.30156 Da 815.88 s",13.60,408.30884,,"C13H37N13S",1368.0,1586.0,1406.0,1366.0,1590.0,1310.0
"793.64466 Da 821.25 s",13.69,794.65194,,"C41H91N7OS3",1108.0,1250.0,0.0,1106.0,1052.0,1164.0
"412.25838 Da 821.78 s",13.70,413.26566,,"C22H32N6O2",21412.0,20932.0,20702.0,21152.0,20642.0,19862.0
"779.62965 Da 822.01 s",13.70,780.63693,,"C29H86N11O10P",1182.0,1252.0,1098.0,1326.0,1164.0,1088.0
"414.26592 Da 822.24 s",13.70,415.27320,,"C20H46O2S3",1036.0,1126.0,1088.0,1132.0,1066.0,960.0
"567.42127 Da 825.34 s",13.76,568.42855,,,8706.0,4212.0,0.0,1656.0,1466.0,0.0
"626.59961 Da 826.68 s",13.78,627.60688,,,1258.0,1216.0,706.0,1436.0,972.0,0.0
"809.53517 Da 829.02 s",13.82,810.54245,,"C27H73N17O7P2",1000.0,1410.0,1496.0,1800.0,1320.0,726.0
"337.33472 Da 830.88 s",13.85,338.34200,,"C22H43NO",1028.0,1024.0,1124.0,1096.0,978.0,1036.0
"552.45176 Da 833.79 s",13.90,553.45904,,"C30H65O6P",2070.0,1258.0,2482.0,3052.0,2202.0,3750.0
"547.49682 Da 833.90 s",13.90,548.50410,,"C35H65NO3",2614.0,1402.0,2970.0,3740.0,2734.0,3598.0
"474.40811 Da 833.90 s",13.90,475.41538,,"C24H54N6OS",2236.0,1290.0,2624.0,3094.0,2916.0,2736.0
"656.60834 Da 834.45 s",13.91,657.61562,,,1670.0,1712.0,672.0,1470.0,1196.0,808.0
"780.57489 Da 835.27 s",13.92,781.58217,,,3948.0,3654.0,3912.0,1860.0,3118.0,1196.0
"775.62123 Da 835.44 s",13.92,776.62851,,,2464.0,1964.0,1560.0,0.0,1444.0,766.0
"446.33816 Da 838.84 s",13.98,447.34544,,"C22H47N4O3P",1658.0,1542.0,1720.0,1664.0,1658.0,1634.0
"652.50102 Da 841.29 s",14.02,653.50830,,"C31H77N2O5PS2",1168.0,1022.0,1046.0,944.0,1068.0,974.0
"707.50704 Da 841.81 s",14.03,708.51432,,,1146.0,1464.0,1398.0,1810.0,1878.0,2190.0
"757.21622 Da 842.48 s",14.04,758.22349,,,13218.0,9160.0,13558.0,10200.0,10926.0,18376.0
"551.42610 Da 842.78 s",14.05,552.43338,,,23618.0,10638.0,0.0,2216.0,966.0,0.0
"835.55222 Da 843.22 s",14.05,836.55949,,,1958.0,3114.0,3052.0,3894.0,2972.0,1472.0
"185.05081 Da 843.41 s",14.06,186.05809,,"C8H11NO2S",3936.0,3578.0,3592.0,3448.0,3870.0,0.0
"742.47861 Da 850.32 s",14.17,743.48589,,"C28H58N18O6",1280.0,1346.0,1224.0,1064.0,746.0,0.0
"468.37202 Da 852.12 s",14.20,469.37929,,"C15H44N14O3",1668.0,1678.0,1772.0,1672.0,1402.0,1604.0
"902.56170 Da 854.37 s",14.24,903.56898,,,1556.0,3322.0,1424.0,0.0,0.0,0.0
"661.49535 Da 856.51 s",14.28,662.50262,,"C29H79N3O4S4",1132.0,1260.0,1230.0,1160.0,1248.0,1172.0
"679.47544 Da 856.79 s",14.28,680.48272,,"C25H67N11O6P2",1554.0,1942.0,1766.0,1744.0,1728.0,1652.0
"697.24899 Da 856.92 s",14.28,698.25626,,,4812.0,0.0,4200.0,3328.0,3944.0,3118.0
"344.07935 Da 857.93 s",14.30,345.08663,,"C12H16N4O6S",9802.0,9452.0,9588.0,8824.0,8818.0,8482.0
"763.53815 Da 863.30 s",14.39,764.54543,,"C29H61N23O2",5402.0,0.0,5182.0,3682.0,2808.0,1232.0
"509.48153 Da 866.42 s",14.44,510.48880,,"C18H55N17",2840.0,2438.0,2658.0,2808.0,3300.0,2636.0
"831.23678 Da 872.28 s",14.54,832.24406,,,10122.0,6758.0,7668.0,5672.0,7956.0,11288.0
"832.23637 Da 872.74 s",14.55,833.24365,,,7748.0,5372.0,0.0,4166.0,6796.0,9656.0
"915.55652 Da 876.49 s",14.61,916.56379,,"C49H73N9O8",2452.0,2480.0,3974.0,4122.0,3648.0,1904.0
"618.52102 Da 878.79 s",14.65,619.52830,,"C33H71N4O4P",6384.0,4344.0,0.0,5312.0,6016.0,3326.0
"771.26676 Da 885.19 s",14.75,772.27404,,,5326.0,3834.0,0.0,3496.0,2858.0,2774.0
"811.55106 Da 887.25 s",14.79,812.55833,,"C27H75N17O7P2",2524.0,0.0,3282.0,2370.0,2396.0,1114.0
"837.56752 Da 893.54 s",14.89,838.57479,,,692.0,1076.0,0.0,1258.0,834.0,0.0
"905.25716 Da 894.89 s",14.91,906.26444,,,4354.0,2414.0,2144.0,2786.0,2802.0,3038.0
"660.53233 Da 895.79 s",14.93,661.53960,,"C33H76N2O8S",1054.0,1018.0,962.0,972.0,1252.0,1156.0
"576.51299 Da 906.14 s",15.10,577.52027,,"C23H60N16O",2190.0,2798.0,1832.0,1804.0,1300.0,0.0
"646.55317 Da 908.15 s",15.14,647.56045,,,1782.0,1544.0,1892.0,1872.0,2156.0,1652.0
"225.94425 Da 917.50 s",15.29,226.95153,,"C6H2N4S3",0.0,0.0,792.0,950.0,1012.0,1128.0
"736.56711 Da 918.62 s",15.31,737.57438,,,1478.0,1586.0,1440.0,1884.0,1730.0,1836.0
"743.64920 Da 919.09 s",15.32,744.65648,,,1778.0,1890.0,1332.0,1778.0,1814.0,2158.0
"351.97749 Da 932.36 s",15.54,352.98476,,"C10H13N2O4PS3",1048.0,1038.0,1018.0,1086.0,1028.0,1216.0
"407.30156 Da 945.60 s",15.76,408.30883,,"C13H37N13S",1304.0,1272.0,1080.0,1182.0,1094.0,1176.0
"220.16778 Da 949.61 s",15.83,221.17505,,"C11H24O4",1136.0,1230.0,0.0,1132.0,1374.0,1278.0
"351.27524 Da 950.33 s",15.84,352.28252,,"C17H33N7O",1808.0,1440.0,1462.0,1808.0,1654.0,1450.0
"249.17072 Da 961.61 s",16.03,250.17799,,,2282.0,2016.0,2200.0,2324.0,2486.0,2066.0
"770.60105 Da 962.02 s",16.03,771.60833,,,2306.0,1634.0,0.0,1800.0,1414.0,834.0
"727.65532 Da 973.43 s",16.22,728.66259,,,1046.0,1086.0,1108.0,1340.0,1694.0,1896.0
"699.62318 Da 974.09 s",16.23,700.63046,,"C39H81N5O5",6472.0,6570.0,4980.0,6064.0,6012.0,5676.0
"445.78961 Da 977.05 s",16.28,446.79689,,,730.0,1050.0,1072.0,796.0,622.0,678.0
"351.27523 Da 990.81 s",16.51,352.28251,,"C17H33N7O",1572.0,1626.0,1954.0,1688.0,1432.0,1860.0
"336.09778 Da 993.24 s",16.55,337.10506,,"C13H21O8P",1166.0,1076.0,1098.0,0.0,1054.0,876.0
"440.29143 Da 1001.82 s",16.70,441.29870,,"C22H41N4O3P",1652.0,1648.0,2026.0,1730.0,1946.0,1722.0
"249.17046 Da 1002.02 s",16.70,250.17774,,,1934.0,2344.0,2396.0,2272.0,1996.0,2382.0
"407.30214 Da 1002.44 s",16.71,408.30942,,"C18H42N5O3P",1178.0,1222.0,1400.0,1338.0,1096.0,1320.0
"364.09789 Da 1007.90 s",16.80,365.10517,,"C10H16N6O9",1402.0,1580.0,1338.0,1366.0,1312.0,1286.0
"292.20108 Da 1011.57 s",16.86,293.20836,,"C14H24N6O",1066.0,1174.0,1390.0,1168.0,1308.0,1198.0
"550.49936 Da 1013.58 s",16.89,551.50664,,"C24H66N6O7",1996.0,2338.0,2130.0,2348.0,2884.0,3048.0
"1657.45186 Da 1013.59 s",16.89,829.73321,,,0.0,0.0,3092.0,0.0,3512.0,3820.0
"823.76924 Da 1013.59 s",16.89,824.77652,,,1940.0,2192.0,2010.0,2076.0,2210.0,2240.0
"828.72274 Da 1013.78 s",16.90,829.73002,,,2316.0,3054.0,0.0,2716.0,0.0,0.0
"228.13376 Da 1015.22 s",16.92,229.14104,,"C8H16N6O2",1322.0,1412.0,1190.0,1048.0,1500.0,1230.0
"229.24097 Da 1023.92 s",17.07,230.24825,,"C14H31NO",1346.0,1284.0,1180.0,1440.0,1278.0,1176.0
"336.09796 Da 1024.97 s",17.08,337.10524,,"C14H25O3PS2",920.0,998.0,1144.0,1194.0,1040.0,0.0
"486.35436 Da 1028.79 s",17.15,487.36164,,"C24H42N10O",1022.0,1012.0,936.0,968.0,1016.0,938.0
"356.19640 Da 1030.64 s",17.18,357.20368,,"C15H33O7P",932.0,1040.0,1196.0,1126.0,1010.0,1048.0
"851.79913 Da 1030.82 s",17.18,852.80640,,,1084.0,1232.0,0.0,1284.0,1470.0,1530.0
"856.75427 Da 1031.10 s",17.19,857.76155,,,1248.0,1434.0,0.0,1744.0,1724.0,2134.0
"412.25899 Da 1031.14 s",17.19,413.26627,,"C22H32N6O2",0.0,33856.0,33610.0,33172.0,32094.0,34706.0
"301.29854 Da 1031.25 s",17.19,302.30581,,"C18H39NO2",2830.0,2620.0,2742.0,2850.0,2800.0,3002.0
"392.29069 Da 1031.28 s",17.19,393.29797,,"C13H36N12S",2752.0,2916.0,2750.0,2970.0,2902.0,2798.0
"261.23056 Da 1031.95 s",17.20,262.23784,,"C14H31NO3",1340.0,1140.0,0.0,1194.0,1312.0,1296.0
"310.24844 Da 1032.99 s",17.22,311.25572,,"C15H30N6O",2088.0,2140.0,2222.0,1942.0,2284.0,2246.0
"245.23571 Da 1033.82 s",17.23,246.24299,,"C14H31NO2",1034.0,1410.0,1126.0,1382.0,1364.0,1452.0
"462.79975 Da 1034.49 s",17.24,463.80703,,,1700.0,1996.0,1910.0,1720.0,1976.0,1714.0
"442.32742 Da 1035.06 s",17.25,443.33470,,"C14H42N12O2S",1586.0,1094.0,1226.0,1124.0,1306.0,1150.0
"233.19942 Da 1037.48 s",17.29,234.20669,,"C12H27NO3",920.0,870.0,0.0,1080.0,1000.0,1226.0
"270.18065 Da 1038.43 s",17.31,271.18792,,"C11H22N6O2",2680.0,2434.0,2614.0,2524.0,2360.0,2542.0
"212.13906 Da 1043.75 s",17.40,213.14634,,"C8H16N6O",3532.0,3570.0,3722.0,3906.0,4442.0,3620.0
"347.98259 Da 1047.75 s",17.46,348.98986,,,0.0,4328.0,4154.0,3952.0,4356.0,0.0
"288.14811 Da 1048.64 s",17.48,289.15539,,,1482.0,1304.0,1442.0,1352.0,1306.0,1496.0
"265.16554 Da 1052.41 s",17.54,266.17281,,"C11H19N7O",3332.0,3306.0,3422.0,3630.0,3524.0,3750.0
"228.13392 Da 1052.71 s",17.55,229.14119,,"C8H16N6O2",1312.0,1506.0,1444.0,1330.0,1108.0,1342.0
"220.16758 Da 1053.43 s",17.56,221.17486,,"C11H24O4",994.0,1070.0,984.0,976.0,1120.0,996.0
"364.12881 Da 1057.40 s",17.62,365.13608,,"C15H25O8P",2082.0,1858.0,2090.0,2434.0,2152.0,1962.0
"298.10338 Da 1060.24 s",17.67,299.11065,,,994.0,1352.0,1390.0,1050.0,1188.0,1016.0
"388.24442 Da 1067.25 s",17.79,389.25169,,"C17H36N6S2",1322.0,1644.0,1256.0,1494.0,1222.0,1224.0
"398.30165 Da 1071.45 s",17.86,399.30893,,"C17H43N4O4P",1230.0,1784.0,1420.0,1268.0,1300.0,1244.0
"310.24891 Da 1071.57 s",17.86,311.25619,,"C15H30N6O",2206.0,2118.0,2164.0,2236.0,2246.0,2390.0
"270.18118 Da 1071.64 s",17.86,271.18845,,"C11H22N6O2",2218.0,2772.0,2528.0,2708.0,2328.0,2870.0
"312.22798 Da 1073.31 s",17.89,313.23525,,"C14H28N6O2",2282.0,2180.0,1862.0,2590.0,1982.0,2156.0
"172.07108 Da 1075.44 s",17.92,173.07835,,,1674.0,1500.0,1496.0,1462.0,1666.0,1786.0
"233.19906 Da 1076.08 s",17.93,234.20634,,"C12H27NO3",816.0,1056.0,866.0,904.0,1066.0,886.0
"261.23102 Da 1077.25 s",17.95,262.23830,,"C14H31NO3",1184.0,1268.0,1274.0,1398.0,1246.0,1550.0
"314.17072 Da 1078.35 s",17.97,315.17800,,"C20H26OS",2806.0,2702.0,2486.0,3004.0,2784.0,2748.0
"354.27489 Da 1079.76 s",18.00,355.28216,,"C17H34N6O2",1838.0,1890.0,1540.0,1678.0,1870.0,1546.0
"254.15033 Da 1080.63 s",18.01,255.15760,,"C8H23N4O3P",938.0,1064.0,1370.0,1070.0,1188.0,0.0
"244.12883 Da 1081.51 s",18.03,245.13611,,"C16H20S",2314.0,2052.0,2380.0,2330.0,2192.0,1978.0
"340.25952 Da 1084.31 s",18.07,341.26679,,"C14H37N4O3P",1054.0,1064.0,1160.0,1072.0,1198.0,1206.0
"212.10296 Da 1085.31 s",18.09,213.11024,,,0.0,1134.0,926.0,1142.0,1188.0,1200.0
"229.24068 Da 1090.22 s",18.17,230.24795,,"C14H31NO",1520.0,0.0,1266.0,1026.0,1454.0,1228.0
"299.13756 Da 1092.14 s",18.20,300.14484,,"C7H21N7O4S",1660.0,1920.0,1568.0,1644.0,1436.0,1660.0
"298.17543 Da 1095.04 s",18.25,299.18270,,"C12H22N6O3",1634.0,1520.0,1602.0,1370.0,1504.0,1460.0
"370.09448 Da 1112.94 s",18.55,371.10176,,"C13H24O8P2",1124.0,1098.0,1030.0,974.0,904.0,0.0
