"Bucket label","RT","m/z","Name","Formula","2020020_TTP_SILS2665_RA1_1_23 _merged_","2020020_TTP_SILS2666_RA2_1_23 _merged_","2020020_TTP_SILS2667_RA3_1_23 _merged_","2020020_TTP_SILS2668_RA4_1_23 _merged_","2020020_TTP_SILS2669_RA5_1_239 _merged_","2020020_TTP_SILS2670_RA6_1_238 _merged_"
"814.60323 Da 1084.44 s",18.07,408.30889,,,0.0,0.0,0.0,0.0,0.0,1246.0
"243.18342 Da 1084.58 s",18.08,244.19070,,"C13H25NO3",976.0,1222.0,1428.0,1076.0,1108.0,1114.0
"407.30266 Da 1085.14 s",18.09,408.30993,,"C18H42N5O3P",1182.0,1198.0,1124.0,1300.0,1658.0,0.0
"225.17243 Da 1085.13 s",18.09,226.17970,,"C13H23NO2",2506.0,2108.0,1878.0,2142.0,0.0,2162.0
"351.24025 Da 1103.15 s",18.39,352.24752,,"C12H37N3O6S",0.0,758.0,0.0,1094.0,0.0,0.0
"447.39370 Da 1104.30 s",18.40,448.40098,,"C26H49N5O",0.0,0.0,1012.0,410.0,0.0,240.0
"241.27661 Da 1118.46 s",18.64,242.28388,"1-Hexadecylamine","C16H35N",0.0,0.0,0.0,1048.0,590.0,0.0
"424.29776 Da 1122.39 s",18.71,425.30503,,"C28H40O3",784.0,1114.0,1026.0,1516.0,1086.0,1160.0
"446.28126 Da 1123.21 s",18.72,447.28854,,"C14H38N8O8",890.0,592.0,816.0,758.0,1012.0,1030.0
"469.37574 Da 1124.23 s",18.74,470.38302,,"C21H52N5O4P",0.0,2218.0,1228.0,0.0,0.0,0.0
"822.61433 Da 1125.01 s",18.75,275.21205,,,1020.0,0.0,0.0,800.0,1124.0,0.0
"351.23914 Da 1132.02 s",18.87,352.24641,,,996.0,0.0,980.0,0.0,1088.0,1080.0
"312.26752 Da 1133.28 s",18.89,313.27480,,"C12H36N6OS",0.0,1036.0,542.0,144.0,690.0,0.0
"588.47685 Da 1133.83 s",18.90,589.48413,,"C23H64N12OS2",0.0,1588.0,492.0,78.0,430.0,0.0
"216.09682 Da 1137.23 s",18.95,217.10410,,"C6H12N6O3",0.0,1498.0,1344.0,0.0,0.0,1258.0
"241.27678 Da 1139.49 s",18.99,242.28405,"1-Hexadecylamine","C16H35N",970.0,1078.0,0.0,944.0,0.0,0.0
"352.14988 Da 1141.61 s",19.03,353.15715,,"C22H24O2S",0.0,1596.0,0.0,1408.0,1462.0,1346.0
"629.18694 Da 1141.78 s",19.03,630.19421,,"C23H35N9O6S3",926.0,1860.0,720.0,612.0,0.0,0.0
"822.61451 Da 1141.78 s",19.03,275.21211,,,632.0,1040.0,914.0,740.0,0.0,674.0
"309.12719 Da 1141.78 s",19.03,310.13446,,"C11H24N3O3PS",1536.0,1576.0,0.0,1472.0,1550.0,0.0
"60.03965 Da 1142.19 s",19.04,61.04693,,,0.0,980.0,1380.0,0.0,0.0,0.0
"199.19358 Da 1142.55 s",19.04,200.20086,,"C12H25NO",1216.0,1092.0,1132.0,996.0,0.0,1064.0
"447.39404 Da 1143.32 s",19.06,448.40132,,"C26H49N5O",568.0,3230.0,0.0,1382.0,388.0,316.0
"469.37591 Da 1146.16 s",19.10,470.38319,,"C21H52N5O4P",0.0,1548.0,1292.0,598.0,308.0,0.0
"312.26678 Da 1150.22 s",19.17,313.27406,,"C19H36O3",0.0,116.0,1502.0,724.0,0.0,2134.0
"169.04835 Da 1151.40 s",19.19,170.05562,,"C6H7N3O3",2054.0,2002.0,1476.0,1498.0,2206.0,1940.0
"309.12694 Da 1151.59 s",19.19,310.13421,,"C11H24N3O3PS",1790.0,1558.0,1304.0,1248.0,1448.0,1352.0
"588.47844 Da 1151.85 s",19.20,589.48572,,"C26H64N6O8",0.0,0.0,1518.0,0.0,0.0,114.0
"611.17827 Da 1153.24 s",19.22,612.18555,,"C19H49NO8S6",0.0,0.0,0.0,0.0,1076.0,0.0
"158.14981 Da 1155.51 s",19.26,159.15709,,,1354.0,1180.0,1436.0,1240.0,1288.0,0.0
"241.27701 Da 1155.72 s",19.26,242.28429,"1-Hexadecylamine","C16H35N",1152.0,0.0,1054.0,1004.0,0.0,0.0
"154.09916 Da 1157.24 s",19.29,155.10644,,"C9H14O2",1066.0,946.0,0.0,0.0,0.0,978.0
"112.05199 Da 1157.97 s",19.30,113.05927,,,1286.0,1302.0,0.0,0.0,1054.0,898.0
"60.03974 Da 1158.13 s",19.30,61.04702,,,0.0,1404.0,0.0,1222.0,1148.0,0.0
"112.05171 Da 1158.19 s",19.30,57.03313,,,1902.0,1720.0,1824.0,0.0,1800.0,1986.0
"171.12569 Da 1158.36 s",19.31,172.13297,"N-CYCLOHEXYL-BETA-ALANINE","C9H17NO2",0.0,798.0,0.0,800.0,1034.0,0.0
"129.15166 Da 1159.27 s",19.32,130.15893,,"C8H19N",1850.0,2244.0,2004.0,1690.0,1878.0,1698.0
"199.19364 Da 1161.52 s",19.36,200.20091,,"C12H25NO",0.0,1176.0,1350.0,1262.0,1150.0,1286.0
"505.42860 Da 1162.70 s",19.38,506.43587,,"C20H59N9OS2",0.0,2908.0,2068.0,896.0,560.0,370.0
"87.06812 Da 1163.11 s",19.39,88.07540,,,0.0,0.0,1170.0,0.0,1070.0,1378.0
"249.11114 Da 1163.99 s",19.40,250.11841,"2,4,6-Tris_allyloxy_-1,3,5-triazine","C12H15N3O3",3828.0,3354.0,3110.0,3276.0,4070.0,3466.0
"169.04835 Da 1166.97 s",19.45,170.05563,,"C6H7N3O3",2492.0,2364.0,1954.0,1652.0,2428.0,1760.0
"123.07945 Da 1165.76 s",19.43,124.08672,,"C6H9N3",10352.0,9592.0,9756.0,11038.0,9950.0,10428.0
"352.15028 Da 1164.45 s",19.41,353.15756,,"C15H24N6S2",1596.0,1728.0,1290.0,1348.0,1592.0,1634.0
"390.27813 Da 1165.13 s",19.42,391.28519,,"C17H38N6O2S",11692.0,7046.0,6532.0,7184.0,6754.0,5474.0
"370.30924 Da 1165.08 s",19.42,393.29892,,"C23H38N4",14352.0,1176.0,2400.0,1396.0,1212.0,1222.0
"166.02609 Da 1165.03 s",19.42,149.02287,,,6856.0,3270.0,3038.0,3974.0,2422.0,3452.0
"278.15117 Da 1165.07 s",19.42,279.15919,,"C16H22O4",2902.0,1588.0,2292.0,2374.0,0.0,1680.0
"56.06226 Da 1166.73 s",19.45,57.06954,,,4716.0,26938.0,3602.0,2920.0,1922.0,3062.0
"216.09718 Da 1164.86 s",19.41,217.10446,,"C6H12N6O3",1180.0,1106.0,1470.0,1352.0,1276.0,1120.0
"309.12715 Da 1166.92 s",19.45,310.13443,,"C11H24N3O3PS",1512.0,0.0,1672.0,1302.0,0.0,1426.0
"60.03942 Da 1170.29 s",19.50,61.04669,,,1296.0,1112.0,1130.0,0.0,1418.0,1132.0
"446.39040 Da 1170.36 s",19.51,447.39768,,"C17H50N8O5",5996.0,12662.0,8936.0,2834.0,1694.0,1704.0
"78.04680 Da 1170.61 s",19.51,79.05408,,,512.0,1522.0,520.0,554.0,776.0,0.0
"129.15172 Da 1170.92 s",19.52,130.15899,,"C8H19N",2052.0,2010.0,1960.0,2252.0,2214.0,2138.0
"158.14986 Da 1172.42 s",19.54,159.15714,,,1532.0,1386.0,1222.0,1190.0,1320.0,1526.0
"112.05204 Da 1172.65 s",19.54,113.05931,,,1384.0,976.0,914.0,1140.0,948.0,1206.0
