"Bucket label","RT","m/z","Name","Formula","2020020_TTP_SILS2665_RA1_1_23 _merged_","2020020_TTP_SILS2666_RA2_1_23 _merged_","2020020_TTP_SILS2667_RA3_1_23 _merged_","2020020_TTP_SILS2668_RA4_1_23 _merged_","2020020_TTP_SILS2669_RA5_1_239 _merged_","2020020_TTP_SILS2670_RA6_1_238 _merged_"
"50.98662 Da 15.08 s",0.25,51.99390,,,1934.0,1278.0,1424.0,1048.0,1036.0,1370.0
"219.03160 Da 15.17 s",0.25,220.03888,,"C6H9N3O4S",1370.0,1950.0,1870.0,2090.0,1796.0,2510.0
"53.93944 Da 15.29 s",0.25,54.94672,,,840.0,960.0,1094.0,1380.0,968.0,838.0
"153.99531 Da 15.32 s",0.26,155.00258,,"C4H2N4OS",4194.0,4688.0,4936.0,5428.0,4730.0,5450.0
"51.99432 Da 15.33 s",0.26,53.00160,,,2196.0,2312.0,2210.0,2168.0,2080.0,1716.0
"60.05733 Da 15.42 s",0.26,61.06460,,,1226.0,1426.0,1458.0,1450.0,1612.0,1474.0
"204.00835 Da 15.43 s",0.26,205.01563,,,1304.0,1430.0,1318.0,466.0,1264.0,484.0
"200.00067 Da 15.56 s",0.26,201.00794,,"C5H4N4O3S",4714.0,5852.0,6784.0,5770.0,6870.0,6606.0
"142.06294 Da 15.63 s",0.26,143.07022,,"C7H10O3",2886.0,1928.0,2216.0,1978.0,1824.0,2042.0
"138.95595 Da 15.91 s",0.27,139.96323,,,950.0,1164.0,1042.0,1390.0,1216.0,1204.0
"53.00090 Da 15.92 s",0.27,54.00818,,,9324.0,10680.0,10332.0,9746.0,9380.0,10178.0
"56.92726 Da 16.08 s",0.27,57.93454,,,1570.0,1912.0,1680.0,1888.0,1618.0,1750.0
"116.08271 Da 16.32 s",0.27,59.04863,,,1616.0,994.0,1064.0,892.0,0.0,866.0
"568.54294 Da 17.51 s",0.29,285.27874,,,0.0,1666.0,678.0,1312.0,0.0,0.0
"142.95173 Da 17.61 s",0.29,143.95900,,,1166.0,1546.0,1302.0,1336.0,1458.0,1382.0
"158.95818 Da 18.04 s",0.30,159.96546,,,800.0,902.0,764.0,746.0,1010.0,820.0
"164.78020 Da 18.09 s",0.30,55.93401,,,0.0,0.0,0.0,0.0,0.0,13814.0
"96.96127 Da 18.28 s",0.30,97.96854,,,5610.0,9532.0,8432.0,7536.0,0.0,7962.0
"256.24063 Da 18.71 s",0.31,257.24790,"Isopalmitic acid","C16H32O2",1344.0,2272.0,1148.0,1428.0,1200.0,1400.0
"193.92231 Da 18.93 s",0.32,97.96843,,,0.0,0.0,0.0,0.0,7174.0,0.0
"70.92200 Da 19.96 s",0.33,71.92928,,,824.0,1254.0,1272.0,996.0,1058.0,1336.0
"109.85344 Da 22.49 s",0.37,55.93399,,,9958.0,12244.0,13008.0,13678.0,12988.0,13408.0
"283.90847 Da 26.01 s",0.43,142.96151,,,0.0,174.0,0.0,0.0,1542.0,0.0
"58.51412 Da 27.66 s",0.46,59.52140,,,1386.0,974.0,1004.0,660.0,982.0,618.0
"430.83900 Da 27.94 s",0.47,431.84628,,"C9H5NO7S6",618.0,486.0,1182.0,1076.0,930.0,698.0
"57.99038 Da 28.02 s",0.47,58.99765,,,2296.0,2224.0,1658.0,1190.0,1368.0,1042.0
"599.89703 Da 28.19 s",0.47,200.97295,,,0.0,0.0,1868.0,0.0,0.0,0.0
"300.05548 Da 28.19 s",0.47,151.03502,,,0.0,0.0,4462.0,0.0,0.0,0.0
"274.87978 Da 28.23 s",0.47,275.88705,,,806.0,616.0,960.0,1118.0,1312.0,1082.0
"49.50833 Da 28.25 s",0.47,50.51560,,,0.0,0.0,0.0,3436.0,0.0,0.0
"72.52496 Da 28.32 s",0.47,73.53224,,,0.0,2928.0,0.0,0.0,0.0,0.0
"365.91257 Da 28.32 s",0.47,183.96356,,,3662.0,3328.0,3572.0,2828.0,2636.0,1370.0
"481.98351 Da 28.32 s",0.47,241.99903,,,0.0,2572.0,0.0,0.0,0.0,0.0
"54.50659 Da 28.46 s",0.47,55.51387,,,0.0,0.0,0.0,0.0,0.0,5996.0
"122.03360 Da 28.50 s",0.47,62.02408,,,15576.0,18914.0,17726.0,16732.0,16908.0,11274.0
"68.50946 Da 28.58 s",0.48,69.51674,,,6060.0,4832.0,6236.0,5548.0,6112.0,3678.0
"104.02310 Da 28.66 s",0.48,53.01883,,,9510.0,10326.0,10014.0,10674.0,0.0,6994.0
"99.96144 Da 28.69 s",0.48,50.98800,,,6050.0,7076.0,8478.0,7750.0,7164.0,5166.0
"66.99066 Da 28.71 s",0.48,67.99794,,,1934.0,2086.0,2278.0,2108.0,1910.0,1692.0
"140.04424 Da 28.72 s",0.48,71.02940,,,1800.0,2088.0,2920.0,2478.0,2084.0,1664.0
"399.89857 Da 28.75 s",0.48,400.90585,,"C9H8N2O6S5",1230.0,0.0,1346.0,1094.0,0.0,834.0
"241.99511 Da 28.75 s",0.48,243.00239,,"C5H3N6O4P",878.0,1210.0,1188.0,892.0,1034.0,640.0
"671.83262 Da 28.75 s",0.48,672.83990,,"C19H5N2O16P5",0.0,0.0,1080.0,0.0,0.0,0.0
"59.50464 Da 28.79 s",0.48,60.51192,,,9410.0,6778.0,9646.0,10592.0,9658.0,5838.0
"106.97983 Da 28.79 s",0.48,54.49719,,,36720.0,12906.0,0.0,78282.0,47148.0,42422.0
"397.40644 Da 28.82 s",0.48,398.41371,,"C21H55N3OS",0.0,0.0,0.0,1184.0,692.0,0.0
"115.90590 Da 28.82 s",0.48,58.96023,,,0.0,466.0,0.0,1718.0,882.0,958.0
"145.04972 Da 29.01 s",0.48,73.53214,,,3084.0,0.0,3798.0,4426.0,3408.0,2042.0
"67.49307 Da 29.02 s",0.48,68.50034,,,18040.0,5186.0,28124.0,47680.0,31866.0,0.0
"134.98665 Da 29.08 s",0.48,68.50060,,,0.0,0.0,0.0,0.0,0.0,19022.0
"135.94969 Da 29.08 s",0.48,68.98212,,,0.0,0.0,0.0,0.0,0.0,81418.0
"64.95781 Da 29.09 s",0.48,65.96509,,,4526.0,1886.0,7388.0,9938.0,7902.0,5156.0
"59.95022 Da 29.09 s",0.48,60.95750,,,3426.0,1364.0,3670.0,4184.0,3080.0,2498.0
"76.98643 Da 29.09 s",0.48,77.99370,,,3274.0,3450.0,4360.0,5022.0,5054.0,1530.0
"191.96228 Da 29.10 s",0.49,96.98841,,,7194.0,3136.0,8810.0,13034.0,10116.0,0.0
"147.01482 Da 29.19 s",0.49,74.51469,,,22268.0,13104.0,26800.0,33274.0,29678.0,11428.0
"160.03506 Da 29.21 s",0.49,81.02481,,,5436.0,4272.0,7534.0,11060.0,11382.0,2560.0
"81.49610 Da 29.23 s",0.49,82.50338,,,1446.0,0.0,2346.0,0.0,2668.0,0.0
"53.48980 Da 29.32 s",0.49,54.49708,,,0.0,0.0,51006.0,0.0,0.0,0.0
"827.75837 Da 29.32 s",0.49,414.88646,,,0.0,0.0,1494.0,0.0,1072.0,738.0
"69.50782 Da 29.32 s",0.49,70.51509,,,1124.0,1058.0,1476.0,1952.0,1424.0,780.0
"413.38559 Da 29.37 s",0.49,414.39286,,,0.0,130.0,1046.0,1330.0,0.0,0.0
"135.98121 Da 29.42 s",0.49,68.99788,,,0.0,0.0,0.0,2882.0,968.0,646.0
"685.80129 Da 29.42 s",0.49,686.80857,,,0.0,724.0,0.0,1152.0,0.0,0.0
"449.86120 Da 29.42 s",0.49,450.86848,,"C13H10N2S8",0.0,0.0,1500.0,1400.0,0.0,0.0
"57.95342 Da 29.46 s",0.49,58.96069,,,1028.0,0.0,1024.0,0.0,0.0,0.0
"947.65616 Da 29.67 s",0.49,474.83536,,,0.0,0.0,0.0,0.0,0.0,2770.0
"264.00986 Da 29.88 s",0.50,265.01713,,,0.0,1132.0,1098.0,958.0,730.0,532.0
"795.79896 Da 30.03 s",0.50,398.90676,,"C20H5N2O23P5",0.0,0.0,0.0,0.0,1214.0,0.0
"450.36064 Da 30.05 s",0.50,451.36792,,"C22H50N4O3S",756.0,0.0,1098.0,1006.0,836.0,0.0
"156.02136 Da 30.05 s",0.50,79.01796,,"C10H4O2",0.0,0.0,0.0,1452.0,0.0,0.0
"84.21369 Da 30.05 s",0.50,85.22097,,,666.0,0.0,1614.0,6276.0,946.0,0.0
"310.01390 Da 30.05 s",0.50,156.01423,,,0.0,956.0,864.0,1056.0,950.0,746.0
"91.94253 Da 30.05 s",0.50,92.94980,,,638.0,0.0,792.0,1252.0,668.0,264.0
"769.77027 Da 30.05 s",0.50,385.89241,,,0.0,0.0,820.0,1210.0,0.0,0.0
"348.40437 Da 30.05 s",0.50,349.41165,,,0.0,0.0,0.0,1022.0,842.0,0.0
"506.85392 Da 30.05 s",0.50,507.86119,,"C16H5N5OS7",920.0,0.0,1270.0,1260.0,0.0,0.0
"470.87769 Da 30.05 s",0.50,471.88497,,"C14H5N3O6S5",0.0,0.0,764.0,1200.0,688.0,644.0
"564.84176 Da 30.05 s",0.50,565.84904,,"C18H7N5OS8",804.0,0.0,1016.0,1078.0,908.0,0.0
"956.72218 Da 30.05 s",0.50,479.36837,,,0.0,0.0,0.0,1070.0,0.0,500.0
"421.37341 Da 30.05 s",0.50,422.38068,,,626.0,0.0,1310.0,1272.0,0.0,0.0
"405.89332 Da 30.05 s",0.50,406.90060,,"C6H7N4O7PS4",0.0,532.0,866.0,1022.0,486.0,380.0
"589.81489 Da 30.05 s",0.50,590.82217,,"C14H6N8OS9",0.0,0.0,0.0,1036.0,0.0,0.0
"701.78935 Da 30.05 s",0.50,702.79663,,"C12H10N6O11S9",0.0,0.0,970.0,1074.0,792.0,0.0
"180.01424 Da 30.05 s",0.50,91.01440,,,0.0,0.0,0.0,5568.0,0.0,1676.0
"69.49013 Da 30.05 s",0.50,70.49741,,,758.0,0.0,1122.0,1908.0,1226.0,626.0
"997.72444 Da 30.05 s",0.50,499.86949,,,0.0,0.0,0.0,1224.0,638.0,0.0
"1259.64082 Da 30.05 s",0.50,630.82769,,,0.0,0.0,0.0,1112.0,0.0,0.0
"1145.66192 Da 30.05 s",0.50,573.83824,,,0.0,0.0,1848.0,2680.0,1712.0,0.0
"169.92032 Da 30.19 s",0.50,170.92759,,,548.0,272.0,1012.0,1128.0,764.0,776.0
"458.85375 Da 30.19 s",0.50,459.86102,,"C12H5N5OS7",2282.0,534.0,0.0,0.0,1716.0,0.0
"405.39413 Da 30.25 s",0.50,406.40141,,"C22H51N3O3",946.0,0.0,1136.0,1342.0,736.0,0.0
"392.87071 Da 30.26 s",0.50,393.87799,,"C14H3NO3S5",804.0,0.0,1082.0,1372.0,732.0,490.0
"885.73886 Da 30.34 s",0.51,443.87671,,,0.0,1462.0,0.0,0.0,0.0,0.0
"57.49745 Da 30.43 s",0.51,58.50473,,,2694.0,1426.0,3214.0,3554.0,2998.0,0.0
"398.89382 Da 30.44 s",0.51,399.90109,,"C12H5N3O3S5",0.0,0.0,1340.0,0.0,0.0,0.0
"514.84237 Da 30.53 s",0.51,515.84965,,"C13H9NO7S7",1000.0,0.0,1288.0,1938.0,856.0,922.0
"1031.69177 Da 30.65 s",0.51,516.85316,,,0.0,0.0,0.0,1216.0,0.0,0.0
"1529.55787 Da 30.65 s",0.51,510.85990,,,0.0,676.0,792.0,1124.0,0.0,0.0
"1045.65749 Da 30.65 s",0.51,523.83602,,,0.0,0.0,0.0,1884.0,804.0,0.0
"356.38952 Da 30.65 s",0.51,357.39680,,,0.0,0.0,0.0,1300.0,0.0,0.0
"55.48623 Da 30.67 s",0.51,56.49350,,,1526.0,670.0,1486.0,1864.0,1280.0,782.0
"114.99554 Da 30.89 s",0.51,58.50505,,,0.0,0.0,0.0,3488.0,0.0,2200.0
"465.84053 Da 31.22 s",0.52,466.84780,,"C9H2N6O5S6",0.0,0.0,1086.0,1756.0,832.0,0.0
"470.37359 Da 31.22 s",0.52,471.38087,,"C27H46N6O",664.0,0.0,1424.0,1228.0,0.0,718.0
"138.01171 Da 31.35 s",0.52,70.01313,,,5370.0,2538.0,0.0,0.0,8368.0,0.0
"335.90321 Da 31.49 s",0.52,336.91049,,,756.0,1162.0,730.0,0.0,970.0,0.0
"473.82698 Da 31.69 s",0.53,474.83426,,"C10H6N2O6S7",2162.0,746.0,4140.0,4614.0,2442.0,0.0
"644.79660 Da 31.83 s",0.53,645.80387,,"C19H8N3O5PS8",0.0,0.0,824.0,1288.0,0.0,0.0
"588.81070 Da 31.83 s",0.53,589.81797,,"C14H4N7O4PS7",0.0,0.0,986.0,1274.0,0.0,0.0
"587.80644 Da 31.97 s",0.53,588.81372,,"C12H5N4O10PS6",1564.0,0.0,2254.0,3252.0,1630.0,0.0
"635.85985 Da 31.99 s",0.53,318.93720,,,1306.0,0.0,0.0,0.0,0.0,0.0
"313.91194 Da 32.07 s",0.53,314.91922,,"C9H2N2O5S3",2142.0,1022.0,2346.0,2116.0,2064.0,1030.0
"249.94113 Da 32.20 s",0.54,250.94841,,,946.0,1518.0,866.0,812.0,1122.0,476.0
"126.01633 Da 32.37 s",0.54,64.01544,,,1868.0,2454.0,2520.0,2960.0,2406.0,2198.0
"801.71824 Da 32.40 s",0.54,401.86640,,"C28H83N25O2",746.0,0.0,1108.0,1782.0,0.0,512.0
"599.83801 Da 32.56 s",0.54,600.84528,,,692.0,1122.0,1750.0,1660.0,0.0,1688.0
"751.78919 Da 32.65 s",0.54,752.79647,,"C19H12O16S8",1084.0,1064.0,1310.0,0.0,994.0,0.0
"615.81754 Da 32.72 s",0.55,616.82482,,"C10H5N10O6PS7",1514.0,1352.0,1700.0,2532.0,1796.0,1158.0
"855.74973 Da 32.98 s",0.55,856.75701,,,0.0,0.0,0.0,1224.0,0.0,0.0
"379.89587 Da 33.35 s",0.56,380.90315,,"C10H4O10S3",0.0,842.0,1062.0,894.0,1242.0,0.0
"525.83563 Da 33.57 s",0.56,526.84291,,"C18H7O5PS6",1314.0,0.0,1474.0,1894.0,0.0,940.0
"593.82142 Da 33.57 s",0.56,594.82870,,"C16H7N2O9PS6",844.0,0.0,0.0,1534.0,0.0,0.0
"278.12376 Da 34.44 s",0.57,279.13104,,,578.0,856.0,1092.0,1118.0,586.0,0.0
"773.77939 Da 34.45 s",0.57,774.78666,,,0.0,1382.0,0.0,1356.0,0.0,0.0
"689.81607 Da 34.45 s",0.57,690.82335,,"C22H14N2O4S10",0.0,1606.0,0.0,0.0,1698.0,0.0
"721.77147 Da 35.07 s",0.58,722.77874,,"C15H6N12OS11",0.0,1258.0,0.0,0.0,918.0,236.0
"1287.65329 Da 35.65 s",0.59,644.83392,,,0.0,1716.0,0.0,0.0,0.0,0.0
"202.16809 Da 35.67 s",0.59,203.17537,,"C10H22N2O2",54750.0,58230.0,28072.0,19268.0,3260.0,208.0
"378.89643 Da 35.70 s",0.59,379.90370,,"C8H2N3O9PS2",516.0,984.0,830.0,640.0,1070.0,546.0
"775.78473 Da 35.70 s",0.59,776.79200,,"C18H9N4O15PS7",0.0,634.0,514.0,0.0,1176.0,0.0
"226.94691 Da 35.70 s",0.59,227.95419,,"C4H6NO4PS2",690.0,566.0,750.0,1326.0,1376.0,1666.0
"143.09457 Da 35.95 s",0.60,144.10185,,"C7H13NO2",11368.0,12214.0,5526.0,4702.0,994.0,212.0
"59.04788 Da 36.63 s",0.61,60.05516,,,2032.0,1756.0,1402.0,1488.0,2402.0,1142.0
"735.80601 Da 36.80 s",0.61,736.81329,,"C26H8O12S7",0.0,0.0,516.0,0.0,1020.0,0.0
"765.75526 Da 36.82 s",0.61,766.76253,,,0.0,2238.0,768.0,0.0,1006.0,0.0
"188.12765 Da 37.37 s",0.62,189.13492,,,5128.0,4290.0,2290.0,4814.0,3610.0,790.0
"859.73843 Da 37.38 s",0.62,860.74571,,,0.0,1108.0,0.0,0.0,0.0,0.0
"179.93849 Da 37.38 s",0.62,90.97652,,,0.0,14516.0,0.0,0.0,0.0,0.0
"749.77594 Da 37.38 s",0.62,750.78321,,,2876.0,3400.0,0.0,0.0,1968.0,0.0
"174.11101 Da 37.63 s",0.63,175.11829,,,3276.0,4400.0,4412.0,3738.0,2938.0,1420.0
"59.97893 Da 37.67 s",0.63,60.98621,,,262.0,0.0,0.0,0.0,0.0,1228.0
"156.99483 Da 38.22 s",0.64,158.00210,,"C4H3N3O2S",36.0,0.0,148.0,0.0,0.0,1292.0
"144.13297 Da 38.66 s",0.64,145.14025,,,1058.0,1162.0,468.0,608.0,606.0,0.0
"717.83054 Da 38.66 s",0.64,718.83782,,,2958.0,2052.0,2942.0,0.0,3958.0,3208.0
"441.14958 Da 38.97 s",0.65,442.15685,,,1818.0,840.0,1104.0,1216.0,1576.0,2660.0
"243.10444 Da 39.42 s",0.66,244.11171,,"C10H17N3O2S",810.0,1324.0,1620.0,1932.0,804.0,418.0
"422.15051 Da 39.42 s",0.66,423.15779,,"C12H30N4O8S2",0.0,356.0,1520.0,0.0,0.0,0.0
"68.00086 Da 39.63 s",0.66,69.00813,,,3698.0,4414.0,4124.0,4738.0,2640.0,530.0
"513.89553 Da 39.97 s",0.67,257.95504,,,0.0,0.0,1740.0,0.0,0.0,0.0
"535.80695 Da 39.97 s",0.67,268.91075,,,0.0,0.0,1214.0,0.0,0.0,0.0
"271.09782 Da 40.14 s",0.67,272.10510,,"C12H18NO4P",4102.0,812.0,908.0,0.0,0.0,0.0
"216.11072 Da 40.33 s",0.67,217.11800,,,2120.0,2224.0,3148.0,1962.0,1836.0,712.0
"272.88150 Da 40.55 s",0.68,273.88878,,,2020.0,1380.0,2274.0,1876.0,1926.0,3094.0
"146.06899 Da 40.77 s",0.68,147.07627,"D-Glutamine","C5H10N2O3",5526.0,9640.0,5066.0,25452.0,22704.0,6982.0
"233.93201 Da 41.13 s",0.69,232.92473,,,5888.0,7618.0,6344.0,9110.0,12462.0,8776.0
"252.10314 Da 40.88 s",0.68,253.11042,,,3724.0,4638.0,3922.0,2302.0,1662.0,824.0
"112.05130 Da 40.88 s",0.68,57.03293,,,0.0,1974.0,0.0,1912.0,0.0,0.0
"190.93325 Da 41.00 s",0.68,191.94053,,,658.0,370.0,784.0,546.0,674.0,1128.0
"224.12712 Da 41.27 s",0.69,113.07084,,,5702.0,0.0,0.0,0.0,0.0,0.0
"430.15643 Da 41.27 s",0.69,216.08549,,,1038.0,0.0,0.0,0.0,0.0,0.0
"114.07920 Da 41.56 s",0.69,115.08648,,"C5H10N2O",1594.0,2810.0,2228.0,2510.0,1550.0,552.0
"158.06908 Da 41.57 s",0.69,159.07636,,"C6H10N2O3",43764.0,61864.0,48724.0,44900.0,38900.0,17534.0
"196.98099 Da 41.58 s",0.69,197.98826,,,752.0,0.0,1256.0,502.0,912.0,1830.0
"56.04287 Da 41.83 s",0.70,57.05015,,,1500.0,1770.0,1620.0,1812.0,2032.0,648.0
"101.12048 Da 41.84 s",0.70,102.12776,"Triethylamine","C6H15N",2804.0,4256.0,2562.0,5176.0,5394.0,5618.0
"398.14052 Da 41.90 s",0.70,399.14780,,"C11H32N2O7P2S",1358.0,0.0,1160.0,172.0,0.0,326.0
"322.86562 Da 42.16 s",0.70,323.87289,,,1510.0,0.0,0.0,1072.0,1210.0,1692.0
"226.09489 Da 42.20 s",0.70,114.05472,,,1028.0,2146.0,0.0,1086.0,856.0,624.0
"85.04199 Da 42.57 s",0.71,86.04927,,,1154.0,946.0,1422.0,764.0,786.0,0.0
"574.19566 Da 42.79 s",0.71,288.10511,,,0.0,1380.0,0.0,0.0,552.0,0.0
"73.01614 Da 42.92 s",0.72,74.02341,,,13450.0,15912.0,9884.0,12722.0,11886.0,3442.0
"377.11952 Da 43.24 s",0.72,378.12680,,"C13H15N9O5",992.0,1276.0,1082.0,1136.0,856.0,0.0
"180.09572 Da 43.51 s",0.73,61.03918,,,20096.0,0.0,0.0,15410.0,14448.0,15204.0
"281.11133 Da 44.02 s",0.73,282.11861,,,938.0,1554.0,952.0,1242.0,1250.0,70.0
"209.07109 Da 44.06 s",0.73,210.07837,,,0.0,0.0,0.0,0.0,1480.0,0.0
"494.17953 Da 44.20 s",0.74,495.18681,,"C12H27N14O4PS",8678.0,14260.0,6846.0,6052.0,3818.0,0.0
"267.01165 Da 44.44 s",0.74,268.01892,,"C11H10NO3PS",1206.0,1354.0,910.0,1208.0,754.0,0.0
"60.03205 Da 44.45 s",0.74,61.03933,,,0.0,9292.0,14186.0,0.0,0.0,0.0
"230.16299 Da 44.47 s",0.74,231.17027,,"C11H22N2O3",3380.0,3706.0,1900.0,1874.0,1406.0,492.0
"458.12615 Da 44.88 s",0.75,459.13343,,"C11H31N4O9PS2",3254.0,3720.0,1994.0,3064.0,1538.0,0.0
"418.14570 Da 45.03 s",0.75,210.08012,,,540.0,194.0,224.0,1806.0,0.0,0.0
"818.17510 Da 45.23 s",0.75,410.09482,,,0.0,0.0,0.0,0.0,2802.0,0.0
"282.97967 Da 45.29 s",0.75,283.98695,,"C11H9NO2S3",1222.0,1236.0,770.0,856.0,806.0,544.0
"732.22414 Da 45.42 s",0.76,733.23142,,"C19H41N16O7PS3",0.0,0.0,0.0,9476.0,7220.0,1310.0
"310.12002 Da 45.46 s",0.76,311.12729,,"C11H22N2O6S",0.0,0.0,0.0,11412.0,7698.0,2192.0
"343.95574 Da 45.53 s",0.76,344.96302,,,106.0,0.0,0.0,504.0,594.0,2586.0
"535.17558 Da 45.55 s",0.76,536.18285,,,1406.0,664.0,1402.0,1534.0,808.0,0.0
"328.09406 Da 45.62 s",0.76,329.10134,,"C10H20N2O8S",0.0,0.0,0.0,3274.0,4046.0,2136.0
"274.02960 Da 45.62 s",0.76,138.02207,,,0.0,0.0,0.0,1000.0,0.0,0.0
"623.11844 Da 45.66 s",0.76,312.56650,,"C15H30N9O12PS2",0.0,0.0,0.0,2636.0,1632.0,1772.0
"281.97351 Da 45.74 s",0.76,282.98079,,"C6H10N4OS4",788.0,1300.0,908.0,0.0,662.0,0.0
"362.09854 Da 45.74 s",0.76,363.10581,,"C12H27O6PS2",0.0,1132.0,646.0,0.0,0.0,0.0
"160.08467 Da 45.90 s",0.77,161.09195,,"C6H12N2O3",902.0,1632.0,1246.0,1526.0,950.0,480.0
"313.56890 Da 46.09 s",0.77,314.57618,,,0.0,0.0,0.0,244.0,896.0,1366.0
"596.15480 Da 46.22 s",0.77,597.16207,,"C17H40N8O3S6",0.0,0.0,0.0,1890.0,1444.0,1476.0
"609.14913 Da 46.26 s",0.77,610.15641,,"C15H23N13O14",0.0,0.0,0.0,1750.0,2508.0,2346.0
"518.60685 Da 46.68 s",0.78,519.61413,,,0.0,0.0,0.0,796.0,0.0,1158.0
"804.18657 Da 46.68 s",0.78,403.10056,,"C23H41N12O12PS3",0.0,0.0,0.0,882.0,794.0,1740.0
"1194.30817 Da 46.68 s",0.78,598.16136,,,0.0,0.0,0.0,0.0,0.0,2792.0
"499.62383 Da 46.68 s",0.78,500.63111,,"C27H77N7",0.0,0.0,0.0,0.0,0.0,1604.0
"611.13312 Da 46.68 s",0.78,612.14040,,"C13H33N13O5S5",0.0,0.0,0.0,0.0,1132.0,1308.0
"417.57276 Da 46.68 s",0.78,418.58003,,,0.0,0.0,0.0,1962.0,2828.0,2550.0
"505.17849 Da 46.85 s",0.78,506.18576,,"C15H32N5O12P",0.0,0.0,0.0,1086.0,978.0,0.0
"190.96418 Da 46.85 s",0.78,191.97146,,"C4H5N3S3",1308.0,0.0,2046.0,0.0,0.0,0.0
"474.01089 Da 47.04 s",0.78,238.01272,,,908.0,4158.0,1574.0,0.0,0.0,0.0
"475.15747 Da 47.18 s",0.79,476.16475,,"C10H27N11O7P2",1686.0,0.0,728.0,0.0,0.0,0.0
"330.11082 Da 47.20 s",0.79,331.11809,,"C19H14N4O2",0.0,0.0,66.0,4846.0,3598.0,3286.0
"695.67818 Da 47.24 s",0.79,696.68546,,,0.0,0.0,0.0,0.0,0.0,1176.0
"390.67583 Da 47.24 s",0.79,391.68311,,,0.0,0.0,0.0,7272.0,6722.0,1042.0
"439.57294 Da 47.24 s",0.79,440.58022,,,0.0,0.0,0.0,980.0,0.0,2360.0
"409.08785 Da 47.27 s",0.79,410.09512,,"C25H16NO3P",0.0,0.0,0.0,2902.0,0.0,2248.0
"1170.33984 Da 47.50 s",0.79,1171.34711,,"C55H54N20OS5",0.0,0.0,0.0,0.0,3438.0,0.0
"702.67109 Da 47.55 s",0.79,703.67836,,"C39H86N6O4",0.0,0.0,0.0,1100.0,808.0,1014.0
"144.95846 Da 47.62 s",0.79,145.96574,,,550.0,1518.0,660.0,0.0,0.0,0.0
"395.02856 Da 47.69 s",0.79,396.03584,,"C20H13NO4S2",1078.0,1206.0,916.0,0.0,232.0,510.0
"279.13232 Da 47.75 s",0.80,280.13959,,"C12H25NO2S2",2072.0,2284.0,956.0,0.0,112.0,0.0
"842.15281 Da 47.79 s",0.80,422.08368,,"C37H34N10O6S4",0.0,0.0,0.0,1340.0,0.0,1950.0
"598.14859 Da 47.79 s",0.80,599.15587,,"C27H38N2O3S5",0.0,0.0,0.0,562.0,0.0,1172.0
"605.64501 Da 47.79 s",0.80,606.65229,,"C29H83N9OS",0.0,0.0,0.0,1010.0,0.0,1120.0
"1808.42819 Da 47.79 s",0.80,905.22137,,,0.0,0.0,0.0,3066.0,2072.0,3372.0
"506.61629 Da 47.85 s",0.80,507.62357,,,0.0,0.0,0.0,2206.0,3178.0,1924.0
"614.62925 Da 47.93 s",0.80,615.63653,,"C34H86N4S2",0.0,0.0,0.0,0.0,1096.0,1270.0
"195.45403 Da 48.06 s",0.80,196.46131,,,0.0,0.0,0.0,3888.0,3350.0,732.0
"1208.28948 Da 48.22 s",0.80,605.15202,,"C70H52N10OS5",0.0,0.0,0.0,6658.0,3480.0,4678.0
"413.09801 Da 48.36 s",0.81,414.10528,,,0.0,0.0,0.0,1816.0,2126.0,1858.0
"418.57380 Da 48.36 s",0.81,419.58108,,,0.0,0.0,0.0,326.0,740.0,1070.0
"381.92765 Da 48.84 s",0.81,191.97110,,,0.0,2698.0,0.0,0.0,0.0,242.0
"460.07806 Da 48.93 s",0.82,231.04631,,"C19H17N4O8P",0.0,0.0,0.0,658.0,0.0,1610.0
"418.07356 Da 48.93 s",0.82,419.08083,,"C21H14N4O4S",0.0,0.0,0.0,2054.0,3030.0,2694.0
"359.99534 Da 48.94 s",0.82,361.00262,,"C17H4N4O4S",1058.0,0.0,0.0,0.0,0.0,112.0
"1002.23974 Da 49.10 s",0.82,1003.24701,,"C68H35N4O4P",0.0,0.0,0.0,1610.8626708984375,2028.0,1752.0
"1100.26803 Da 49.19 s",0.82,1101.27530,,,0.0,0.0,0.0,0.0,1096.0,1034.0
"1614.37323 Da 49.19 s",0.82,808.19389,,"C91H181N13O6P2",0.0,0.0,0.0,3876.0,3920.0,3720.0
"414.09206 Da 49.32 s",0.82,415.09934,,"C17H14N6O7",0.0,0.0,0.0,1118.0,1356.0,1368.0
"222.51822 Da 49.48 s",0.82,223.52550,,,0.0,0.0,0.0,1396.0,1058.0,1608.0
"221.51285 Da 49.48 s",0.82,222.52013,,,0.0,0.0,0.0,752.0,926.0,1232.0
"231.02154 Da 49.48 s",0.82,232.02881,,"C9H5N5OS",0.0,0.0,0.0,1350.0,1000.0,1446.0
"339.97874 Da 49.48 s",0.82,340.98602,,"C15H4N2O6S",0.0,0.0,0.0,4912.0,5484.0,5968.0
"1418.30965 Da 49.49 s",0.82,710.16210,,"C57H70N20O4S10",0.0,0.0,0.0,8284.0,7590.0,10714.0
"1613.36646 Da 49.67 s",0.83,807.69050,,"C65H80N23O5PS10",0.0,0.0,0.0,4768.0,4884.0,4146.0
"1223.25428 Da 49.67 s",0.83,612.63442,,"C69H61NO6S7",0.0,0.0,0.0,13520.0,16418.0,15908.0
