AT103	34
ESI3	200
ETR1	242
Era	651
HAGH1	313
IAP75	5090
ICFG	1410
Sac1	535
aat	80
abfB	226
accA	727
accB	1119
accC	1126
accD	935
ackA	1138
acp	2475
acs	2325
act	514
adk	842
agp	3632
ahcY	14341
alaS	1283
alr	2747
ama	953
amiA	4782
amiC	1688
ams1	1374
amt1	9011
amt2	718
amt3	309
ank	729
apcA	57193
apcB	46769
apcC	7071
apcD	3814
apcE	39489
apcF	5597
ape2	1248
apqZ	5537
apt	456
arcC	209
argB	434
argC	3813
argD	2644
argF	748
argG	4206
argH	1609
argJ	3697
argS	1309
aroA	1210
aroB	480
aroC	968
aroE	381
aroH	1024
aroK	143
aroQ	1328
arsA	175
arsC	84
asd	2854
aslB	842
asnS	610
aspA	1436
aspC	2402
aspS	3980
atp1	18345
atpA	18869
atpB	20139
atpC	9051
atpD	3925
atpE	4628
atpF	3968
atpG	6399
atpH	8816
atpI	28174
bchB	99
bchE	293
bcp	1195
bfr	2989
bgl	367
bhy	1570
bioB	1419
bioF	12003
bioY	743
birA	1058
blaOXA-3	235
braG or livF	625
brkB	452
btpA	911
bvdR	323
cad	380
capA	99
carA	3034
carB	4592
cbaB	478
cbbA	20224
cbbZp	232
cbiA	968
cbiB	224
cbiC	220
cbiD	271
cbiE	247
cbiF	453
cbiH	1510
cbiL	106
cbiM	2700
cbiP	908
cbiT	863
ccmA	5076
ccmK	14405
ccmL	1884
ccmM	10308
ccmN	1506
ccsA	1762
cdsA	620
cefD	429
cfxE	3410
chlB	9055
chlD	932
chlG	2277
chlH	7654
chlI	1024
chlL	4411
chlM	1065
chlN	1806
chrA	224
citH	1324
clcD	855
clpB	3870
clpC	14607
clpP	12946
clpX	1686
cmpA	35
cmpB	15
cmpR	88
cobA	335
cobN	569
cobU	92
cobW	280
codA	273
comEc	458
cpcA	125285
cpcB	117939
cpcC	48748
cpcD	5229
cpcE	381
cpcF	202
cpcG	33485
crtE	1309
crtO	200
crtQ	336
crtX	420
cscK	265
csgA	369
ctaB	3437
ctaC	4928
ctaD	9110
ctaE	2525
ctpA	794
ctpB	3342
cyaA	1759
cydA	5010
cydB	2545
cynS	279
cyp	3544
cysA	411
cysC	955
cysE	399
cysG	290
cysH	723
cysK	686
cysM	499
cysQ	448
cysS	1438
cysT	62
cysW	69
cytM	632
dacB	4571
dapA	2049
dapB	306
dapF	2145
dcoH	231
dctP	595
ddh	2368
ddlA	497
deaD	8544
def	928
degT	2011
deoC	439
desA	5081
desB	868
desC(des9)	9652
desD(des6)	3070
devB	576
dfp	1522
dfr	1449
dfrA	575
dgkA	1233
dgt	247
divK	353
dnaA	454
dnaB	688
dnaE	1764
dnaG	334
dnaJ	2606
dnaK	26725
dnaN	804
dnaX	642
dnaX and dnaZ	145
dpm1	536
drgA	3139
dsbD	748
eda	265
efp	1625
eno	4964
entC	1570
envM	587
epsB	6167
erg6	813
exbB	1802
exoD	418
exsB	494
fabD	500
fabF	4737
fabG	2058
fabH	575
fabZ	561
fbp	1997
fda	765
fecB	344
fecC	115
fecD	101
fecE	198
feoB	1640
ffh	781
fhuA	621
fmt	455
fmu/fmv	1726
folC	1247
folD	567
folE	1417
folK	286
folP	271
fraH	783
frdA	1253
frpC	8823
frr	833
ftrC	356
ftrV	568
ftsH	18424
ftsI	3924
ftsY	1910
ftsZ	7747
fumC	263
fur	588
fus	24931
gabD	2296
gad	1971
galE	1959
gap1	3660
gap2	10745
gcp	348
gcpE	1866
gcvH	455
gcvP	968
gcvT	456
gdh	1245
gdhA	1327
gdhB	296
gerCb	290
ggt	1329
ggtA	824
gidA	2023
gidB	803
glbN	299
glcD	1005
glcE	1935
glcF	1314
glcP	1828
gldA	1186
glgA	3630
glgB	4665
glgP	13281
glgX	9474
glk	430
glmS	1729
glmU	1198
glnA	3970
glnB	8773
glnH	322
glnH/glnP	652
glnN	1791
glpD	981
glpK	727
glpX	12907
gltA	1654
gltB	7430
gltD	3607
gltS	439
gltX	775
glyQ	944
glyS	1772
gmhA	1424
gmk	183
gnd	12290
gpmB	971
gpsA	921
groEL	28274
groEL-2	8130
groES	6705
grpE	1223
grxC	826
gshB	1454
gspD	5962
gspE	3538
gspF	519
gst	504
gst1	660
guaA	5503
guaB	5870
gumB	1597
gylA	3211
gyrA	3596
gyrB	5052
hdrB	965
hemA	2188
hemB	1294
hemC	1943
hemD	1039
hemE	2300
hemF	4183
hemH	3392
hemK	326
hemL	2108
hemN	360
hflX	807
hglK	687
hhoA	1360
hhoB	1370
hisA	515
hisB	1068
hisC	4332
hisD	1770
hisF	272
hisG	626
hisH	456
hisI	1486
hisS	1987
hitB	1181
hliA	986
hlyB	9162
hlyD	5655
ho1	10433
ho2	115
hofD	469
hofG	28769
hoxF	1295
hoxH	962
hoxU	429
hoxY	257
hpcE	904
hrcA	855
hsp17	1053
htpG	2457
htrA	2527
hupE	964
hypA	254
hypB	1114
hypC	434
hypD	304
hypE	468
hypF	358
icd	930
icfA	1512
icsA	230
ileS	2741
ilvA	1010
ilvB	2222
ilvC	3043
ilvD	3852
ilvE	1699
ilvG	6329
ilvN	1418
im30	2919
infA	223
infB	11113
infC	4340
int	455
isiA	217
isiB	25
iutA	144
katG	4056
kdpA	547
kdpB	937
kdpC	241
kdpD	120
kdtB	331
kpsM	706
kpsT	285
ksgA	113
lacF	573
lacG	415
lap	897
lepA	3733
lepB	1195
leuA	3104
leuB	1424
leuC	1914
leuD	1008
leuS	3058
lexA	9126
lgt	698
lig	3147
lim	2530
lim17	629
lipA	653
lipB	362
livF	782
livG	692
livH	921
llaI.2	681
lmbP	455
lpxA	914
lpxB	741
lpxC	316
lpxD	1049
lrtA	2086
lspA	303
lysA	2759
lysC	1018
lysS	1680
lytB	923
lytR	1093
maf	100
malK	474
malQ	2837
manA	410
map	1684
map%2C pepM	626
mbpA	486
mcpA	4977
me	1526
melB	4520
menA	798
menB	551
menD	952
menE	199
merA	287
merR	292
met3	1477
metH	1656
metS	2415
metX	3514
mfd	1098
mgtC	718
mgtE	608
miaA	168
minC	641
minD	766
minE	254
mltA	418
mmsB	306
mntA	103
mntB	68
mntC	248
moaA	232
moaC	175
moaE	47
modA	47
moeA	365
moeB	3604
mom72	494
morR	713
moxR	720
mraY	1063
mrcA	2799
mrcB	1301
mrdB	1069
mscL	551
msrA	2128
