AT103	18
ESI3	77
ETR1	98
Era	260
HAGH1	121
IAP75	2703
ICFG	585
Sac1	378
aat	37
abfB	118
accA	363
accB	663
accC	589
accD	725
ackA	345
acp	2189
acs	2108
act	212
adk	938
agp	2142
ahcY	5911
alaS	722
alr	1202
ama	438
amiA	2811
amiC	13900
ams1	719
amt1	7146
amt2	370
amt3	194
ank	257
apcA	38727
apcB	34778
apcC	6118
apcD	2589
apcE	34179
apcF	3188
ape2	686
apqZ	2307
apt	162
arcC	315
argB	223
argC	2007
argD	883
argF	461
argG	1286
argH	408
argJ	1281
argS	615
aroA	481
aroB	253
aroC	503
aroE	165
aroH	394
aroK	63
aroQ	458
arsA	69
arsC	48
asd	1344
aslB	431
asnS	387
aspA	1114
aspC	1276
aspS	1909
atp1	11101
atpA	10948
atpB	8697
atpC	5395
atpD	1998
atpE	1979
atpF	1952
atpG	2895
atpH	4027
atpI	13455
bchB	50
bchE	112
bcp	720
bfr	1606
bgl	238
bhy	886
bioB	996
bioF	8964
bioY	623
birA	663
blaOXA-3	80
braG or livF	284
brkB	198
btpA	351
bvdR	166
cad	201
capA	12
carA	881
carB	2073
cbaB	289
cbbA	13300
cbbZp	76
cbiA	577
cbiB	138
cbiC	160
cbiD	235
cbiE	75
cbiF	193
cbiH	485
cbiL	28
cbiM	654
cbiP	378
cbiT	183
ccmA	3967
ccmK	8015
ccmL	870
ccmM	4950
ccmN	775
ccsA	976
cdsA	1014
cefD	172
cfxE	1631
chlB	7465
chlD	709
chlG	904
chlH	5327
chlI	749
chlL	5247
chlM	434
chlN	1739
chrA	95
citH	788
clcD	201
clpB	1999
clpC	8329
clpP	6414
clpX	1131
cmpA	5
cmpB	6
cmpR	30
cobA	256
cobN	355
cobU	28
cobW	175
codA	108
comEc	218
cpcA	120013
cpcB	100351
cpcC	50018
cpcD	4941
cpcE	212
cpcF	103
cpcG	25820
crtE	760
crtO	212
crtQ	112
crtX	210
cscK	141
csgA	134
ctaB	1603
ctaC	1605
ctaD	3018
ctaE	837
ctpA	1089
ctpB	1682
cyaA	984
cydA	648
cydB	402
cynS	163
cyp	824
cysA	179
cysC	399
cysE	288
cysG	151
cysH	554
cysK	276
cysM	271
cysQ	220
cysS	717
cysT	26
cysW	43
cytM	432
dacB	2128
dapA	1183
dapB	191
dapF	1062
dcoH	156
dctP	276
ddh	355
ddlA	293
deaD	7537
def	578
degT	971
deoC	323
desA	2858
desB	274
desC(des9)	6257
desD(des6)	1890
devB	168
dfp	401
dfr	705
dfrA	357
dgkA	625
dgt	83
divK	166
dnaA	197
dnaB	222
dnaE	1101
dnaG	119
dnaJ	1343
dnaK	13324
dnaN	531
dnaX	400
dnaX and dnaZ	53
dpm1	257
drgA	1232
dsbD	361
eda	129
efp	739
eno	1358
entC	1030
envM	296
epsB	4539
erg6	399
exbB	688
exoD	321
exsB	230
fabD	395
fabF	3465
fabG	661
fabH	264
fabZ	245
fbp	930
fda	270
fecB	181
fecC	93
fecD	94
fecE	138
feoB	1099
ffh	423
fhuA	396
fmt	217
fmu/fmv	913
folC	240
folD	289
folE	742
folK	141
folP	108
fraH	257
frdA	641
frpC	6854
frr	413
ftrC	242
ftrV	369
ftsH	16697
ftsI	1809
ftsY	1316
ftsZ	4727
fumC	122
fur	351
fus	15114
gabD	1026
gad	882
galE	1071
gap1	409
gap2	6195
gcp	147
gcpE	715
gcvH	171
gcvP	1036
gcvT	157
gdh	499
gdhA	906
gdhB	143
gerCb	238
ggt	768
ggtA	306
gidA	1066
gidB	615
glbN	170
glcD	649
glcE	908
glcF	833
glcP	2124
gldA	699
glgA	1965
glgB	2718
glgP	4135
glgX	3668
glk	284
glmS	854
glmU	732
glnA	5457
glnB	2921
glnH	129
glnH/glnP	2164
glnN	1109
glpD	197
glpK	262
glpX	7335
gltA	676
gltB	8991
gltD	2287
gltS	146
gltX	910
glyQ	498
glyS	1024
gmhA	691
gmk	88
gnd	3873
gpmB	524
gpsA	389
groEL	7823
groEL-2	3365
groES	1963
grpE	784
grxC	372
gshB	824
gspD	3979
gspE	2415
gspF	370
gst	228
gst1	462
guaA	2767
guaB	2886
gumB	1093
gylA	2619
gyrA	2267
gyrB	4155
hdrB	479
hemA	1318
hemB	993
hemC	1037
hemD	471
hemE	1571
hemF	3000
hemH	1592
hemK	162
hemL	1091
hemN	165
hflX	464
hglK	373
hhoA	506
hhoB	630
hisA	290
hisB	613
hisC	1976
hisD	873
hisF	115
hisG	331
hisH	215
hisI	155
hisS	957
hitB	1000
hliA	477
hlyB	4636
hlyD	3075
ho1	7306
ho2	40
hofD	203
hofG	11983
hoxF	274
hoxH	366
hoxU	84
hoxY	71
hpcE	380
hrcA	659
hsp17	264
htpG	1123
htrA	918
hupE	553
hypA	55
hypB	538
hypC	238
hypD	142
hypE	195
hypF	137
icd	321
icfA	1087
icsA	66
ileS	1485
ilvA	558
ilvB	1370
ilvC	1781
ilvD	2214
ilvE	863
ilvG	4906
ilvN	803
im30	1177
infA	192
infB	6366
infC	2131
int	173
isiA	165
isiB	22
iutA	96
katG	2144
kdpA	238
kdpB	451
kdpC	113
kdpD	68
kdtB	186
kpsM	278
kpsT	144
ksgA	76
lacF	317
lacG	127
lap	378
lepA	2418
lepB	677
leuA	2386
leuB	714
leuC	1245
leuD	529
leuS	2136
lexA	5266
lgt	455
lig	4817
lim	1120
lim17	237
lipA	441
lipB	70
livF	255
livG	284
livH	1048
llaI.2	243
lmbP	211
lpxA	525
lpxB	385
lpxC	121
lpxD	536
lrtA	3189
lspA	165
lysA	1932
lysC	924
lysS	918
lytB	649
lytR	470
maf	37
malK	256
malQ	447
manA	163
map	1155
map%2C pepM	291
mbpA	287
mcpA	2813
me	384
melB	802
menA	387
menB	113
menD	537
menE	68
merA	157
merR	185
met3	859
metH	1396
metS	1107
metX	1842
mfd	695
mgtC	252
mgtE	308
miaA	87
minC	228
minD	328
minE	129
mltA	254
mmsB	183
mntA	96
mntB	83
mntC	248
moaA	135
moaC	101
moaE	45
modA	17
moeA	201
moeB	3990
mom72	306
morR	364
moxR	270
mraY	437
mrcA	1871
mrcB	853
mrdB	738
mscL	346
msrA	1259
mtfB	134
murC	1639
murD	355
murE	866
murF	456
murG	270
murI	2113
murZ	2908
mutL	245
mutM	986
mutS	1717
mutT	83
nadA	164
nadB	486
nadC	190
nadE	406
napA	934
napC	226
narB	1121
natA	126
natB	1646
nblA	173
ndh	1076
ndhA	2496
ndhB	3391
ndhC	440
ndhD	6297
ndhD2	729
ndhD3	330
ndhE	647
ndhF	7580
ndhG	1631
ndhH	1590
ndhI	1052
ndhJ	818
ndhK	1170
ndhK2	49
ndhL	309
ndkR	160
nifJ	803
nifS	1945
nirA	897
nlpD	18859
norA	447
norB	447
nplT	151
nrdA	2358
nreB	112
nrtA	1305
nrtB	1150
nrtC	3364
nrtD	1675
ntcA	1200
ntcB	42
nth	295
ntpJ	618
nucH	374
nusA	952
nusB	230
nusG	1993
nylA	493
odhB	2019
opcA	961
otsA	567
p	134
panB	191
panC/kcy	446
panD	181
pbp	154
pchR	135
pcnB	717
pcr	997
pcrR	31
pdhB	803
pds	311
pdxA	54
pdxH	342
pdxJ	278
pepP	511
pet112	1120
petA	3648
petB	5780
petC	2688
petD	6711
petE	8227
petF	9301
petG	680
petH	4349
petJ	382
petM	55
pfkA	1167
pgi	1155
pgk	5137
pgm	1313
pgsA	105
phb	363
phbC	314
phdD	1255
pheA	250
pheS	629
pheT	1822
phoA	1365
phoH	477
phoU	166
phr	631
phy	8867
pilC	562
pilJ	1834
pilM	2412
pilT	6450
pknA	1645
pleD	1674
plsX	475
pma1	223
pmbA	227
pmgA	309
pnp	5068
pntA	6215
pntB	1062
pobA	78
polA	405
ponA	1745
ppa	864
ppc	2107
ppd	130
ppiB	956
ppk	460
ppsA	805
ppx	506
pqqE	724
prc	1700
prfA	617
prfB	386
prfC	1411
priA	610
prk	5415
prlC	1039
prmA	1094
proA	1516
proB	187
proC	369
proS	912
prsA	2085
psaA	262233
psaB	259422
psaC	15542
psaD	13144
psaE	2569
psaF	14969
psaI	1749
psaJ	3270
psaK	3796
psaL	11991
psaM	5429
psb13	479
psbA1	149
psbA2	179861
psbA3	76299
psbB	35885
psbC	43392
psbD	35975
psbD2	33770
psbE	1821
psbF	361
psbH	3467
psbI	1946
psbJ	339
psbK	2119
psbL	393
psbM	637
psbN	973
psbO	6319
psbT	3521
psbU	2488
psbV	4086
psbX	826
psbZ	998
psr	336
pstA	492
pstB	687
pstC	632
pstS	1020
pta	619
pth	160
purA	1621
purB	1199
purC	298
purD	263
purE	135
purF	2593
purH	624
purK	409
purL	1350
purM	209
purN	244
purT	451
purU	211
putA	1146
pxcA	130
pykF	1628
pyrB	133
pyrC	448
