AT103	30
ESI3	123
ETR1	209
Era	375
HAGH1	248
IAP75	4282
ICFG	1174
Sac1	478
aat	61
abfB	155
accA	564
accB	929
accC	777
accD	675
ackA	871
acp	2028
acs	2415
act	376
adk	627
agp	3339
ahcY	10574
alaS	934
alr	2136
ama	745
amiA	4094
amiC	1365
ams1	950
amt1	7158
amt2	548
amt3	265
ank	444
apcA	45006
apcB	36993
apcC	4923
apcD	3363
apcE	30261
apcF	4580
ape2	858
apqZ	5164
apt	329
arcC	157
argB	363
argC	3095
argD	2294
argF	661
argG	3555
argH	1214
argJ	2711
argS	808
aroA	837
aroB	380
aroC	740
aroE	272
aroH	684
aroK	118
aroQ	867
arsA	135
arsC	53
asd	1852
aslB	664
asnS	449
aspA	1171
aspC	1825
aspS	3324
atp1	14132
atpA	15389
atpB	16659
atpC	7273
atpD	3009
atpE	3614
atpF	3120
atpG	4854
atpH	7670
atpI	21471
bchB	71
bchE	176
bcp	1028
bfr	2080
bgl	310
bhy	1345
bioB	1190
bioF	6971
bioY	640
birA	876
blaOXA-3	187
braG or livF	579
brkB	379
btpA	756
bvdR	214
cad	371
capA	70
carA	2441
carB	3856
cbaB	368
cbbA	16768
cbbZp	185
cbiA	690
cbiB	145
cbiC	119
cbiD	201
cbiE	132
cbiF	350
cbiH	1118
cbiL	60
cbiM	1812
cbiP	640
cbiT	657
ccmA	3661
ccmK	12226
ccmL	1613
ccmM	9022
ccmN	1374
ccsA	1350
cdsA	466
cefD	369
cfxE	2630
chlB	8821
chlD	716
chlG	1713
chlH	6232
chlI	799
chlL	4896
chlM	826
chlN	1114
chrA	196
citH	1082
clcD	631
clpB	2609
clpC	11244
clpP	9562
clpX	1328
cmpA	20
cmpB	19
cmpR	56
cobA	248
cobN	451
cobU	52
cobW	232
codA	186
comEc	389
cpcA	100353
cpcB	90747
cpcC	39859
cpcD	4452
cpcE	322
cpcF	137
cpcG	25678
crtE	962
crtO	171
crtQ	168
crtX	287
cscK	181
csgA	284
ctaB	2755
ctaC	3958
ctaD	7198
ctaE	1997
ctpA	751
ctpB	2550
cyaA	1360
cydA	3040
cydB	1614
cynS	258
cyp	2673
cysA	315
cysC	849
cysE	315
cysG	181
cysH	540
cysK	548
cysM	340
cysQ	366
cysS	953
cysT	42
cysW	70
cytM	397
dacB	3534
dapA	1430
dapB	260
dapF	1586
dcoH	222
dctP	453
ddh	1399
ddlA	433
deaD	4769
def	625
degT	1439
deoC	322
desA	3421
desB	673
desC(des9)	7085
desD(des6)	2176
devB	481
dfp	1045
dfr	1035
dfrA	445
dgkA	921
dgt	163
divK	236
dnaA	316
dnaB	380
