AT103	28
ESI3	98
ETR1	141
Era	244
HAGH1	139
IAP75	3046
ICFG	606
Sac1	423
aat	38
abfB	110
accA	412
accB	718
accC	777
accD	834
ackA	314
acp	2343
acs	2076
act	217
adk	970
agp	2734
ahcY	7264
alaS	926
alr	1414
ama	540
amiA	3477
amiC	16265
ams1	788
amt1	8128
amt2	461
amt3	218
ank	353
apcA	43494
apcB	38182
apcC	7804
apcD	3102
apcE	37532
apcF	3727
ape2	797
apqZ	2940
apt	187
arcC	220
argB	303
argC	2385
argD	1046
argF	547
argG	1589
argH	549
argJ	1421
argS	715
aroA	574
aroB	328
aroC	623
aroE	202
aroH	442
aroK	73
aroQ	475
arsA	80
arsC	39
asd	1481
aslB	565
asnS	418
aspA	1219
aspC	1550
aspS	2051
atp1	10939
atpA	12758
atpB	10255
atpC	6862
atpD	2617
atpE	2390
atpF	2251
atpG	3550
atpH	4489
atpI	14812
bchB	51
bchE	115
bcp	876
bfr	1986
bgl	282
bhy	1052
bioB	1250
bioF	9433
bioY	639
birA	576
blaOXA-3	92
braG or livF	353
brkB	264
btpA	437
bvdR	194
cad	210
capA	28
carA	1001
carB	2451
cbaB	363
cbbA	16994
cbbZp	106
cbiA	580
cbiB	124
cbiC	129
cbiD	244
cbiE	74
cbiF	174
cbiH	557
cbiL	33
cbiM	1255
cbiP	404
cbiT	197
ccmA	4122
ccmK	8691
ccmL	966
ccmM	5602
ccmN	882
ccsA	1102
cdsA	1165
cefD	230
cfxE	1995
chlB	7745
chlD	748
chlG	1023
chlH	5903
chlI	874
chlL	5330
chlM	459
chlN	1668
chrA	106
citH	839
clcD	270
clpB	2261
clpC	9510
clpP	7781
clpX	1165
cmpA	11
cmpB	9
cmpR	48
cobA	334
cobN	351
cobU	28
cobW	209
codA	121
comEc	279
cpcA	126145
cpcB	111384
cpcC	56579
cpcD	5353
cpcE	217
cpcF	119
cpcG	29558
crtE	809
crtO	273
crtQ	204
crtX	278
cscK	139
csgA	133
ctaB	1768
ctaC	1714
ctaD	3440
ctaE	868
ctpA	1373
ctpB	1867
cyaA	1162
cydA	901
cydB	498
cynS	197
cyp	1027
cysA	221
cysC	522
cysE	367
cysG	167
cysH	658
cysK	421
cysM	367
cysQ	266
cysS	757
cysT	35
cysW	48
cytM	437
dacB	2461
dapA	1197
dapB	188
dapF	1246
dcoH	153
dctP	409
ddh	397
ddlA	357
deaD	8538
def	766
degT	1075
deoC	329
desA	2988
desB	377
desC(des9)	7141
desD(des6)	2006
devB	242
dfp	519
dfr	689
dfrA	328
dgkA	709
dgt	102
