Well,Dye Name,Reading 1,Reading 2,Reading 3,Reading 4,Reading 5,Reading 6,Reading 7,Reading 8,Reading 9,Reading 10,Reading 11,Reading 12,Reading 13,Reading 14,Reading 15,Reading 16,Reading 17,Reading 18,Reading 19,Reading 20,Reading 21,Reading 22,Reading 23,Reading 24,Reading 25,Reading 26,Reading 27,Reading 28,Reading 29,Reading 30,Reading 31,Reading 32,Reading 33,Reading 34,Reading 35,Reading 36,Reading 37,Reading 38,Reading 39,Reading 40,Reading 41,Reading 42,Reading 43,Reading 44,Reading 45,Reading 46,Reading 47,Reading 48,Reading 49,Reading 50,Reading 51,Reading 52,Reading 53,Reading 54,Reading 55,Reading 56,Reading 57,Reading 58,Reading 59,Reading 60,Reading 61,Reading 62,Reading 63,Reading 64,Reading 65,Reading 66,Reading 67,Reading 68,Reading 69,Reading 70,Reading 71,Reading 72,Reading 73,Reading 74,Reading 75,Reading 76,Reading 77,Reading 78,Reading 79,Reading 80,Reading 81,Reading 82,Reading 83,Reading 84,Reading 85,Reading 86,Reading 87,Reading 88,Reading 89,Reading 90,Reading 91,Reading 92,Reading 93,Reading 94,Reading 95,Reading 96,Reading 97,Reading 98,Reading 99,Reading 100,Reading 101,Reading 102,Reading 103,Reading 104,Reading 105,Reading 106,Reading 107,Reading 108,Reading 109,Reading 110,Reading 111,Reading 112,Reading 113,Reading 114,Reading 115,Reading 116,Reading 117,Reading 118,Reading 119,Reading 120,Reading 121,Reading 122,Reading 123,Reading 124,Reading 125,Reading 126,Reading 127,Reading 128,Reading 129,Reading 130,Reading 131,Reading 132,Reading 133,Reading 134,Reading 135,Reading 136,Reading 137,Reading 138,Reading 139,Reading 140,Reading 141,Reading 142,Reading 143
1,ROX,116079.085938,116264.359375,116509.625000,116667.656250,116702.164063,116679.617188,116646.976563,116599.609375,116547.765625,116506.617188,116330.687500,116045.968750,115484.453125,114580.148438,113114.179688,111329.804688,109442.554688,107768.742188,106416.843750,105451.515625,104800.562500,104390.039063,104152.085938,104036.789063,103939.906250,103865.007813,103796.609375,103745.671875,103712.773438,103710.125000,103773.039063,103864.265625,103872.601563,103843.328125,103729.117188,103714.453125,103754.609375,103855.796875,103865.093750,103839.640625,107644.609375,107816.203125,107912.867188,107999.890625,108137.125000,108283.289063,108393.859375,108504.125000,108555.531250,108646.585938,108710.046875,108771.750000,108835.125000,108993.875000,109190.226563,109337.359375,109463.070313,109559.757813,109609.562500,109698.765625,109826.992188,109936.109375,109911.304688,109935.703125,110039.265625,110309.625000,110426.812500,110562.609375,110624.617188,110754.328125,110715.742188,110736.218750,110807.015625,110970.289063,111060.164063,111220.757813,111328.210938,111385.992188,111337.890625,111434.664063,111627.703125,111842.632813,111872.453125,111868.414063,111876.304688,111891.796875,111931.062500,112031.695313,112264.414063,112337.031250,112371.148438,112350.976563,112429.687500,112490.140625,112593.507813,112632.335938,112676.734375,112637.710938,112687.679688,112825.421875,113019.125000,113094.984375,113027.562500,113005.562500,113054.859375,113236.304688,113323.375000,113453.546875,113642.585938,114142.257813,114990.804688,116566.390625,118604.976563,119069.390625,117458.445313,115214.289063,114222.906250,113952.468750,113837.156250,113801.687500,113792.093750,113812.132813,113788.328125,113705.835938,113588.773438,113593.328125,113575.804688,113564.000000,113518.171875,113433.703125,113400.953125,113454.140625,113539.437500,113482.257813,113386.992188,113401.382813,113366.101563,113317.757813,113241.984375,113213.851563,113135.390625,112886.734375,112455.578125
1,SYBR,79704.132813,80634.914063,81172.031250,81361.289063,81559.539063,81821.570313,82456.359375,83736.171875,86368.593750,91472.539063,101183.343750,118873.125000,149372.687500,196649.734375,260112.718750,331239.156250,397310.187500,448930.687500,484645.781250,508174.812500,523650.156250,533987.500000,541061.625000,546163.875000,550022.812500,552828.437500,554884.500000,556289.562500,557347.000000,557989.875000,558120.125000,557879.312500,557418.500000,556649.250000,555727.625000,554841.312500,553960.125000,552795.187500,551621.125000,550529.562500,511187.281250,493996.281250,480141.125000,470165.156250,462620.312500,456636.625000,451374.500000,446854.937500,442887.625000,439469.125000,436042.437500,432613.125000,429334.656250,426134.000000,423017.250000,419694.687500,416343.562500,413164.406250,410277.468750,407296.437500,404357.593750,401378.562500,398477.687500,395401.718750,392399.656250,389410.531250,386501.875000,383598.312500,380558.156250,377663.531250,374886.562500,372207.437500,369350.187500,366381.593750,363627.437500,360774.218750,357889.656250,355022.875000,352237.187500,349407.218750,346323.312500,343325.875000,340372.562500,337569.343750,334671.406250,331744.812500,328868.250000,326086.781250,323209.562500,320477.250000,317698.593750,314857.250000,311915.968750,309014.718750,306028.812500,303133.968750,300320.843750,297640.250000,294641.781250,291398.687500,288174.531250,285096.156250,282190.687500,279095.875000,276076.125000,272662.218750,269255.593750,264975.468750,259211.234375,250268.875000,235620.421875,210198.031250,167916.453125,119095.789063,81758.851563,65568.085938,61239.183594,60234.675781,59988.300781,60091.285156,60172.042969,60220.546875,60099.003906,60050.097656,60026.812500,59880.589844,59549.187500,59045.023438,58495.394531,57768.335938,56792.371094,55418.929688,53802.613281,51942.500000,50035.906250,47951.742188,46091.996094,44341.789063,42986.105469,41753.378906,40367.937500,38598.074219,36608.042969
2,ROX,155957.593750,156585.828125,156792.015625,156710.234375,156651.687500,156625.000000,156598.875000,156520.390625,156439.093750,156288.640625,156006.500000,155494.859375,154648.921875,153307.828125,151391.046875,149013.734375,146603.031250,144391.000000,142777.406250,141576.906250,140767.765625,140193.421875,139945.531250,139776.968750,139570.593750,139430.234375,139353.765625,139255.375000,139141.437500,139182.437500,139292.484375,139349.859375,139345.281250,139292.843750,139196.390625,139108.734375,139205.328125,139347.046875,139488.546875,139621.828125,144021.078125,144193.281250,144368.171875,144536.578125,144711.437500,144780.828125,144889.203125,144993.593750,145195.890625,145327.062500,145471.812500,145584.000000,145602.890625,145720.609375,145894.375000,146073.687500,146126.343750,146252.109375,146475.906250,146624.687500,146644.125000,146642.421875,146786.906250,147010.531250,147180.765625,147315.656250,147304.468750,147463.218750,147569.828125,147805.718750,147820.734375,147906.156250,147906.171875,148056.750000,148118.125000,148124.078125,148109.250000,148275.750000,148444.218750,148533.968750,148536.218750,148616.578125,148725.468750,148813.421875,148802.968750,148832.656250,148992.437500,149184.937500,149298.468750,149262.796875,149225.796875,149258.437500,149339.812500,149407.296875,149539.125000,149644.640625,149699.703125,149728.906250,149825.437500,149913.312500,149871.046875,149851.500000,149862.531250,149863.468750,149821.078125,149892.671875,150062.015625,150090.265625,150130.625000,150500.390625,151311.468750,152410.609375,155129.421875,157446.843750,157456.687500,154361.609375,151583.531250,150093.562500,149486.328125,149509.218750,149656.343750,149816.234375,149547.468750,149492.703125,149509.187500,149560.703125,149443.734375,149256.171875,149126.109375,149152.015625,149100.171875,148960.421875,148769.625000,148692.140625,148556.843750,148402.984375,148249.593750,148144.375000,148017.984375,147902.609375,147860.953125,147570.906250,146899.296875
2,SYBR,138384.093750,139720.859375,140327.718750,140423.437500,140566.218750,141000.390625,141763.453125,143448.046875,146964.218750,153947.546875,167266.171875,191751.765625,233690.703125,298409.062500,384531.656250,480486.437500,569037.062500,638207.562500,686203.250000,717934.375000,738916.000000,753114.125000,762898.437500,769975.750000,775301.250000,778869.187500,781382.312500,783063.937500,784368.062500,784734.062500,784684.375000,784410.375000,783868.562500,783085.187500,781908.187500,780619.000000,779009.437500,777329.687500,775754.500000,774365.812500,718142.375000,693921.687500,674376.375000,660218.562500,649433.312500,640751.937500,633446.375000,627193.000000,621630.562500,616443.312500,611469.687500,606531.687500,601942.187500,597347.750000,592780.000000,588129.375000,583652.187500,579272.312500,574820.250000,570328.062500,565936.187500,561553.750000,557061.687500,552570.812500,548043.875000,543721.187500,539504.750000,535290.125000,530764.812500,526278.812500,522088.312500,517874.437500,513538.562500,508882.687500,504766.500000,500670.312500,496457.937500,491840.968750,487475.062500,483377.812500,479142.125000,474680.906250,470400.593750,466373.937500,462597.375000,458421.093750,454273.375000,450050.250000,445914.187500,441925.593750,437860.562500,433577.343750,429427.750000,425456.687500,421377.625000,417113.562500,412948.593750,408816.968750,404549.281250,400225.781250,395974.468750,391805.281250,387621.000000,383327.187500,379012.062500,374570.500000,369599.500000,364063.406250,357614.375000,348792.250000,334227.500000,310542.718750,265924.687500,198834.093750,127025.156250,77665.351563,55625.058594,48793.703125,46511.355469,45122.316406,44447.222656,44025.550781,43514.242188,42832.363281,42241.289063,41711.859375,41370.218750,41096.480469,40670.257813,39938.312500,39319.363281,38751.359375,38022.515625,37022.371094,35697.199219,34298.488281,33145.863281,32540.191406,32083.824219,31548.171875,30877.777344,30103.492188,29281.978516
3,ROX,166754.718750,166417.890625,166192.468750,166146.984375,166233.765625,166372.531250,166452.468750,166513.796875,166564.296875,166557.406250,166562.078125,166461.703125,166211.609375,165610.609375,164613.828125,162861.562500,160200.671875,156958.187500,153723.203125,151006.031250,148881.703125,147572.468750,146736.953125,146080.093750,145486.593750,145154.578125,145031.796875,144930.875000,144927.875000,144905.265625,144852.781250,144683.640625,144580.328125,144621.078125,144726.718750,144878.437500,145052.968750,145074.781250,144962.468750,144956.390625,151158.640625,151685.125000,152004.968750,152240.109375,152515.656250,152662.921875,152877.078125,153110.312500,153372.968750,153476.156250,153699.828125,154017.500000,154194.218750,154325.562500,154347.421875,154551.984375,154804.062500,155175.109375,155376.187500,155506.031250,155778.156250,156039.781250,156223.656250,156313.390625,156406.640625,156525.593750,156743.703125,157112.187500,157313.484375,157426.718750,157587.031250,157832.500000,157987.656250,157971.000000,157965.828125,158015.953125,158262.562500,158444.484375,158546.843750,158517.625000,158553.687500,158630.046875,158792.984375,158893.281250,158975.703125,159003.421875,159078.031250,159100.343750,159265.781250,159438.640625,159540.750000,159577.656250,159606.343750,159690.875000,159824.890625,159954.906250,160108.718750,160182.093750,160276.078125,160188.093750,160235.140625,160346.171875,160543.437500,160627.109375,160610.078125,160534.281250,160628.140625,160842.484375,161077.406250,161345.171875,161918.437500,162886.968750,165247.437500,168137.343750,169643.390625,167908.265625,164796.796875,162392.015625,161297.562500,160511.796875,160800.171875,161898.281250,163032.609375,163244.640625,163411.906250,163592.843750,163559.234375,163400.812500,163302.656250,163314.656250,163297.484375,163104.000000,162879.906250,162660.718750,162528.156250,162315.968750,161959.109375,161527.156250,161139.750000,160864.703125,160645.109375,160012.546875,158760.203125
3,SYBR,124681.382813,126237.953125,127106.875000,127466.507813,127859.445313,128272.312500,128822.648438,129648.812500,131118.265625,133842.343750,139044.656250,148965.125000,167655.843750,201616.234375,259650.453125,348830.437500,466439.593750,594809.125000,710547.875000,797623.500000,855812.125000,891716.125000,914098.875000,928120.125000,937290.687500,943564.375000,947540.937500,950038.812500,950921.062500,951486.062500,951564.500000,951049.687500,949879.875000,948398.500000,947042.875000,945265.125000,943064.187500,941142.625000,939442.187500,937263.312500,871662.125000,842343.812500,818557.750000,801257.312500,787942.687500,777950.812500,769618.500000,762447.437500,755514.375000,749084.625000,742960.500000,737049.187500,731332.062500,725712.937500,720586.937500,715123.312500,709663.500000,703988.937500,698601.687500,693074.625000,687523.437500,682128.250000,676636.812500,671579.562500,666385.000000,661398.750000,656230.375000,650933.812500,645418.062500,640045.312500,634732.375000,629243.812500,623897.875000,618832.625000,613695.250000,608312.062500,603090.250000,598020.437500,592634.250000,587113.562500,581581.750000,576334.187500,571025.500000,565925.125000,560861.562500,555571.750000,550109.937500,545055.000000,539945.875000,534859.312500,529857.375000,524944.750000,519732.531250,514354.656250,509268.062500,504402.531250,499391.281250,494252.750000,488963.812500,483862.062500,478805.875000,473669.437500,468262.437500,462824.125000,457602.468750,452428.531250,446692.906250,440519.687500,433618.500000,424733.750000,411049.875000,389407.093750,351371.687500,288744.437500,210744.296875,142480.281250,103047.492188,87204.140625,82038.179688,78599.593750,75607.195313,72214.031250,68821.625000,66136.335938,64352.351563,62889.554688,61559.109375,60549.460938,59448.332031,58043.820313,56591.312500,55338.742188,54096.281250,52336.832031,49705.140625,46210.335938,42650.406250,39500.144531,36824.648438,34371.703125,31619.523438,29043.322266,27115.994141
4,ROX,182718.046875,180761.078125,179718.687500,179502.296875,179576.437500,179681.578125,179795.406250,179882.531250,179992.703125,180084.109375,180178.187500,180133.562500,179976.218750,179723.812500,179304.203125,178408.625000,176599.437500,173829.375000,170322.984375,166590.765625,163015.390625,160066.453125,158304.171875,157519.609375,157234.437500,156717.437500,156380.343750,156066.609375,155856.687500,155618.281250,155558.218750,155726.765625,155803.218750,155918.750000,155912.125000,156097.625000,156206.328125,156172.250000,155996.156250,155853.671875,162658.875000,163194.546875,163644.812500,164022.296875,164380.250000,164686.046875,164877.796875,164922.062500,164924.453125,165013.031250,165293.640625,165606.000000,165802.156250,166071.140625,166371.046875,166589.609375,166705.890625,166807.156250,166954.171875,167169.781250,167354.546875,167401.000000,167494.093750,167701.203125,167934.171875,168074.015625,168183.375000,168201.203125,168287.281250,168344.875000,169106.093750,170420.890625,171944.031250,172791.625000,173492.812500,174201.296875,175025.218750,175760.718750,176383.359375,176920.687500,177319.921875,177668.125000,177828.281250,177885.562500,177892.359375,178076.718750,178265.718750,178309.468750,178314.968750,178390.875000,178411.312500,178316.625000,178199.343750,178201.718750,178189.000000,178214.640625,178091.703125,177999.281250,177906.687500,177992.906250,178062.015625,178177.468750,178130.468750,178100.187500,178086.281250,178112.828125,178029.718750,177894.062500,177712.312500,177733.250000,178105.015625,178973.328125,180864.625000,183769.625000,185915.281250,185263.234375,182203.718750,179207.203125,177575.937500,177163.156250,176986.468750,176893.578125,176631.031250,176221.890625,175807.562500,175531.484375,175385.359375,175224.984375,175121.234375,175059.953125,175009.609375,174949.984375,174840.296875,174669.843750,174524.375000,174489.718750,174429.703125,174255.484375,174067.296875,173886.937500,173774.609375,173581.640625,173253.390625
4,SYBR,116150.062500,114671.851563,113919.390625,113773.187500,113786.351563,114025.000000,114260.781250,114553.468750,115038.765625,116322.195313,118897.937500,124035.734375,133744.250000,152082.890625,186057.687500,245899.375000,342155.187500,476323.500000,632245.062500,780423.937500,896596.937500,974399.750000,1022223.125000,1050747.250000,1067980.000000,1078747.625000,1085511.125000,1089552.250000,1091865.625000,1093433.750000,1094040.750000,1092752.750000,1090658.375000,1088234.250000,1086440.750000,1084509.375000,1082564.750000,1080233.000000,1077868.750000,1075856.000000,1002307.812500,969222.125000,942217.375000,922378.687500,907360.375000,895309.812500,885421.875000,876724.937500,868699.187500,861130.000000,853941.812500,846918.687500,840065.687500,833169.312500,826365.375000,819553.500000,813133.500000,806725.875000,800343.562500,793851.625000,787495.187500,781388.187500,774783.125000,767941.000000,760960.000000,754570.750000,747886.125000,741355.000000,734573.062500,727970.750000,721570.625000,715723.250000,709765.812500,703520.562500,697591.187500,691912.312500,686314.687500,680690.812500,675036.062500,669081.750000,663098.125000,657103.062500,651220.187500,645335.562500,639715.500000,634015.000000,628471.875000,623267.187500,618019.125000,612410.437500,606676.000000,601157.812500,595649.875000,589904.750000,584182.062500,578427.187500,572628.062500,566942.625000,561267.812500,555644.750000,550067.000000,544365.187500,538431.375000,532473.125000,526659.812500,520814.593750,514551.875000,507592.500000,499935.750000,490600.625000,476868.593750,454941.656250,417305.531250,353560.968750,268839.656250,184354.609375,126308.101563,97156.984375,86394.734375,79888.023438,73720.656250,66864.750000,59533.578125,53308.203125,49538.023438,48010.656250,47469.074219,47033.328125,46669.320313,46102.441406,45417.605469,44730.246094,43935.257813,43027.097656,42051.660156,41205.601563,40426.019531,39864.636719,39331.171875,38899.234375,38352.007813,37812.175781,37218.812500
5,ROX,202730.109375,202593.046875,202607.343750,202832.375000,203174.593750,203433.421875,203574.515625,203730.843750,203867.343750,203936.250000,203943.234375,203900.109375,203706.187500,203337.656250,202691.421875,201376.281250,199177.375000,195924.046875,191807.796875,187516.828125,183969.546875,181598.390625,179888.500000,178555.562500,177500.984375,177010.765625,176859.750000,176739.156250,176445.328125,176324.578125,176378.765625,176412.390625,176352.687500,176377.828125,176479.031250,176511.109375,176667.171875,176788.296875,176775.015625,176522.531250,183647.093750,184979.359375,185878.968750,186289.968750,186524.000000,186761.234375,187192.984375,187550.078125,187697.875000,187918.109375,188331.781250,188689.843750,188926.203125,189141.546875,189398.281250,189769.281250,190181.968750,190424.750000,190581.671875,190797.031250,191106.437500,191357.093750,191574.218750,191822.640625,192095.343750,192394.000000,192469.125000,192580.515625,192745.015625,193046.328125,193364.312500,193535.062500,193674.843750,193895.390625,194218.859375,194438.406250,194619.734375,194842.203125,195091.062500,195297.937500,195575.171875,195788.125000,195987.343750,196022.203125,196038.796875,196061.515625,196076.140625,196118.093750,196172.187500,196367.703125,196547.562500,196695.859375,196743.140625,196822.562500,196946.953125,197075.296875,197128.593750,197140.625000,197212.328125,197277.234375,197345.906250,197295.906250,197237.484375,197392.218750,197652.828125,197727.281250,197627.265625,197594.843750,197602.843750,197670.359375,197917.125000,198483.593750,201383.875000,206452.531250,210870.750000,211140.953125,208737.921875,206673.390625,206223.015625,206483.562500,206677.125000,206801.937500,206826.109375,206534.312500,206050.984375,205569.093750,205270.937500,205036.671875,204708.031250,204326.890625,203979.937500,203738.375000,203431.953125,203109.875000,202823.125000,202697.093750,202466.890625,202088.171875,201632.921875,201129.671875,200880.500000,199789.953125,197427.296875
5,SYBR,137238.968750,136853.046875,136437.656250,136177.812500,136111.218750,135979.875000,135931.421875,136153.203125,136783.171875,138354.687500,141565.500000,147958.218750,160255.531250,183640.750000,226626.718750,301168.343750,417878.562500,575037.062500,750923.062500,911508.875000,1033382.250000,1112985.875000,1161673.750000,1190263.875000,1208056.750000,1218820.250000,1226276.625000,1230584.750000,1233324.250000,1234171.500000,1234337.250000,1233118.000000,1230939.875000,1228375.250000,1226261.500000,1224370.875000,1221773.500000,1219123.750000,1216703.875000,1214841.875000,1135619.500000,1097621.375000,1067017.500000,1045307.437500,1028917.875000,1016013.812500,1004634.687500,994986.312500,986504.562500,978326.875000,970369.000000,962665.937500,955473.875000,948141.875000,941387.562500,934366.312500,927116.062500,919726.687500,912730.500000,905805.875000,898730.500000,891568.125000,884655.562500,878006.062500,871183.750000,864366.562500,857742.250000,851028.500000,843821.000000,836881.625000,829890.875000,823398.875000,816871.875000,810184.250000,803254.125000,796212.125000,789439.250000,782764.312500,776245.312500,769899.500000,763254.875000,756504.312500,749679.375000,743111.625000,736645.687500,729693.812500,722665.062500,715694.937500,709033.250000,702507.750000,695997.875000,689496.312500,682974.500000,676407.562500,669718.187500,663171.312500,656661.000000,650258.250000,643408.437500,636597.687500,629888.875000,623381.500000,616570.125000,609411.062500,602236.312500,595304.937500,588139.375000,580480.250000,571803.437500,560682.625000,544665.250000,520885.031250,481981.906250,416211.093750,328458.937500,243122.265625,187644.546875,161813.953125,151628.015625,144093.937500,136774.968750,128720.437500,119962.554688,112436.843750,107450.843750,104764.031250,102782.710938,100715.421875,98477.148438,96223.507813,94133.328125,91934.804688,89800.867188,87234.531250,83808.648438,78809.562500,72666.226563,66203.851563,60153.878906,55064.335938,48995.000000,43081.066406,38137.066406
