multicultivator,channel,wavelength,degree,value,offset
2,0,720,0,-0.0772636,0.008536399999999994
2,0,720,1,1.8213,0.008536399999999994
2,1,720,0,-0.07248215000000001,0.04581784999999999
2,1,720,1,1.8121,0.04581784999999999
2,2,720,0,0.02310071666666666,0.10580071666666666
2,2,720,1,1.9537,0.10580071666666666
2,3,720,0,-0.0031640666666666595,0.07193593333333334
2,3,720,1,1.8914,0.07193593333333334
2,4,720,0,-0.009773516666666641,0.06172648333333335
2,4,720,1,1.8213,0.06172648333333335
2,5,720,0,-0.01711873333333333,0.03808126666666667
2,5,720,1,1.8988,0.03808126666666667
2,6,720,0,0.03441679999999998,0.08981679999999997
2,6,720,1,1.8928,0.08981679999999997
2,7,720,0,0.030286133333333354,0.08708613333333336
2,7,720,1,1.9386,0.08708613333333336
