multicultivator,channel,wavelength,degree,value,offset
0,0,720,0,-0.012066062500000023,0.03863393749999998
0,0,720,1,1.7865,0.03863393749999998
0,1,720,0,-0.01715039999999999,0.02454960000000001
0,1,720,1,1.7152,0.02454960000000001
0,2,720,0,0.0023778999999999745,0.06847789999999998
0,2,720,1,1.9828,0.06847789999999998
0,3,720,0,0.007425175000000041,0.052825175000000044
0,3,720,1,1.8273,0.052825175000000044
0,4,720,0,-0.007691950000000003,0.04060805
0,4,720,1,1.9772,0.04060805
0,5,720,0,0.029739937500000015,0.08383993750000002
0,5,720,1,1.9587,0.08383993750000002
0,6,720,0,-0.007872124999999987,0.032627875000000015
0,6,720,1,1.7699,0.032627875000000015
0,7,720,0,-0.02561412500000001,0.02158587499999999
0,7,720,1,1.8327,0.02158587499999999
