Well,Dye Name,Reading 1,Reading 2,Reading 3,Reading 4,Reading 5,Reading 6,Reading 7,Reading 8,Reading 9,Reading 10,Reading 11,Reading 12,Reading 13,Reading 14,Reading 15,Reading 16,Reading 17,Reading 18,Reading 19,Reading 20,Reading 21,Reading 22,Reading 23,Reading 24,Reading 25,Reading 26,Reading 27,Reading 28,Reading 29,Reading 30,Reading 31,Reading 32,Reading 33,Reading 34,Reading 35,Reading 36,Reading 37,Reading 38,Reading 39,Reading 40,Reading 41,Reading 42,Reading 43,Reading 44,Reading 45,Reading 46,Reading 47,Reading 48,Reading 49,Reading 50,Reading 51,Reading 52,Reading 53,Reading 54,Reading 55,Reading 56,Reading 57,Reading 58,Reading 59,Reading 60,Reading 61,Reading 62,Reading 63,Reading 64,Reading 65,Reading 66,Reading 67,Reading 68,Reading 69,Reading 70,Reading 71,Reading 72,Reading 73,Reading 74,Reading 75,Reading 76,Reading 77,Reading 78,Reading 79,Reading 80,Reading 81,Reading 82,Reading 83,Reading 84,Reading 85,Reading 86,Reading 87,Reading 88,Reading 89,Reading 90,Reading 91,Reading 92,Reading 93,Reading 94,Reading 95,Reading 96,Reading 97,Reading 98,Reading 99,Reading 100,Reading 101,Reading 102,Reading 103,Reading 104,Reading 105,Reading 106,Reading 107,Reading 108,Reading 109,Reading 110,Reading 111,Reading 112,Reading 113,Reading 114,Reading 115,Reading 116,Reading 117,Reading 118,Reading 119,Reading 120,Reading 121,Reading 122,Reading 123,Reading 124,Reading 125,Reading 126,Reading 127,Reading 128,Reading 129,Reading 130,Reading 131,Reading 132,Reading 133,Reading 134,Reading 135,Reading 136,Reading 137,Reading 138,Reading 139,Reading 140,Reading 141,Reading 142,Reading 143
1,ROX,111595.953125,112450.953125,113038.867188,113361.421875,113620.515625,113710.757813,113750.468750,113792.679688,113839.898438,113918.687500,113852.187500,113673.539063,113277.007813,112691.601563,111622.242188,109891.335938,107713.914063,105504.453125,103663.234375,102280.187500,101325.351563,100721.414063,100293.125000,100056.125000,99859.703125,99781.445313,99710.875000,99675.593750,99643.570313,99625.437500,99658.070313,99700.382813,99783.296875,99829.515625,99878.218750,99915.390625,99986.820313,100006.914063,100000.164063,99959.562500,104107.406250,104490.109375,104754.453125,104904.164063,105114.679688,105272.882813,105447.539063,105607.906250,105767.445313,105849.617188,105836.203125,105979.148438,106209.601563,106406.054688,106485.656250,106718.820313,106864.515625,106941.289063,106947.273438,107077.562500,107120.890625,107200.242188,107304.000000,107449.093750,107566.476563,107669.742188,107749.421875,107899.906250,108084.507813,108275.625000,108325.968750,108442.554688,108546.625000,108687.726563,108772.078125,108860.132813,108902.078125,108971.953125,109032.546875,109118.921875,109243.867188,109488.187500,109695.414063,109793.023438,109751.140625,109817.031250,109957.109375,110103.398438,110150.304688,110226.828125,110280.000000,110322.976563,110312.968750,110332.242188,110421.117188,110511.375000,110594.500000,110665.062500,110763.718750,110803.976563,110822.101563,110971.632813,111159.468750,111273.875000,111250.367188,111194.921875,111313.156250,111523.382813,111821.234375,112284.937500,113035.796875,114334.195313,116575.375000,118155.406250,117808.703125,115700.234375,114107.359375,113369.609375,113125.851563,113046.023438,113041.906250,113070.945313,112970.523438,112910.664063,112835.187500,112696.171875,112539.609375,112543.921875,112588.203125,112636.343750,112557.765625,112493.632813,112403.812500,112410.742188,112477.382813,112432.562500,112252.460938,112016.796875,111966.046875,112007.046875,111850.429688,111408.203125,110811.609375
1,SYBR,97695.023438,98879.632813,99845.015625,100508.031250,100970.398438,101446.914063,102090.914063,103017.859375,104672.281250,107919.500000,114162.531250,125870.539063,147098.500000,183387.781250,239303.234375,313362.562500,394587.750000,467920.468750,523374.781250,560124.250000,582899.437500,596754.812500,605594.625000,611392.125000,615334.062500,617916.500000,619664.437500,620876.937500,621631.875000,621924.312500,621664.437500,621134.312500,620407.875000,619441.125000,618240.937500,617154.000000,616081.875000,615070.375000,614091.625000,613208.937500,569559.875000,551321.687500,536508.312500,525931.750000,517965.218750,511768.437500,506415.625000,501581.312500,497040.562500,492869.281250,489260.875000,485552.218750,481931.968750,478035.500000,474517.375000,470689.812500,467458.781250,464119.406250,460951.843750,457373.968750,454081.593750,450672.812500,447377.468750,444077.625000,440782.062500,437606.093750,434513.500000,431520.687500,428088.625000,424797.187500,421724.062500,418698.031250,415520.437500,412202.187500,408947.750000,405812.125000,402835.562500,399888.437500,396608.406250,393492.718750,390313.125000,387183.625000,383905.500000,380570.343750,377135.031250,373704.468750,370580.125000,367605.125000,364541.437500,361239.968750,358073.000000,354925.187500,351902.406250,348655.500000,345458.125000,342177.187500,338927.468750,335608.031250,332371.312500,329184.156250,325913.500000,322480.437500,319076.875000,315669.250000,312294.781250,308874.250000,305141.656250,300760.937500,295313.406250,287633.437500,275315.125000,253600.156250,213895.062500,159487.359375,107759.437500,75437.757813,61366.312500,56032.593750,53588.593750,51763.171875,50134.066406,48492.882813,46973.042969,45852.054688,45071.058594,44581.148438,43984.679688,43177.640625,42227.714844,41378.394531,40542.035156,39589.804688,38390.929688,36667.898438,34375.136719,32178.796875,30452.830078,29168.847656,28091.443359,27098.300781,26030.941406,26262.513672,28465.962891
2,ROX,146084.734375,146999.296875,147466.093750,147503.312500,147538.468750,147473.125000,147445.125000,147344.296875,147226.312500,146954.437500,146587.453125,145938.171875,144888.078125,143183.218750,141037.421875,138631.046875,136108.125000,134110.500000,132917.843750,132469.031250,132187.968750,132001.718750,131824.656250,131548.421875,131326.203125,131218.015625,131155.546875,131020.265625,130896.250000,130915.406250,130883.679688,130863.593750,130797.265625,130798.593750,130758.437500,130676.781250,130618.398438,130651.398438,130704.585938,130618.921875,134937.640625,135225.187500,135297.984375,135173.156250,135309.921875,135577.109375,135808.046875,135909.062500,136063.625000,136126.578125,136038.843750,136100.437500,136297.468750,136484.515625,136559.187500,136654.703125,136805.671875,136926.343750,136981.843750,137079.687500,137273.250000,137506.078125,137688.359375,137819.031250,137960.468750,138091.421875,138195.390625,138151.015625,138202.562500,138274.562500,138370.796875,138401.421875,138578.437500,138688.296875,138748.718750,138709.156250,138807.703125,138903.078125,139016.468750,139073.609375,139182.437500,139247.484375,139222.515625,139261.187500,139393.531250,139573.578125,139632.546875,139699.734375,139683.671875,139730.031250,139720.640625,139801.578125,139808.062500,139874.078125,139887.609375,139933.562500,139904.640625,139924.578125,139992.000000,140128.812500,140181.531250,140254.281250,140275.296875,140358.437500,140352.937500,140312.546875,140349.312500,140409.359375,140610.625000,140927.031250,141809.359375,143654.453125,146596.734375,147847.781250,146139.453125,142920.125000,141125.875000,140520.375000,140071.328125,140165.531250,140584.843750,141015.093750,140958.781250,140937.421875,140955.531250,140912.781250,140848.968750,140735.156250,140632.343750,140571.046875,140422.046875,140219.109375,139983.609375,139745.093750,139593.750000,139541.640625,139498.296875,139370.265625,139246.125000,139119.484375,138656.250000,137954.078125,137199.578125
2,SYBR,101526.742188,102180.781250,102427.304688,102501.687500,102745.148438,103455.265625,104649.820313,107003.664063,111727.757813,120878.039063,137998.312500,168224.031250,217211.953125,286980.312500,370863.781250,454736.406250,524570.375000,574126.500000,606524.187500,628255.625000,643675.687500,654713.875000,662987.375000,669795.812500,674809.062500,678586.437500,681469.375000,683872.562500,685464.812500,686501.812500,687208.625000,687627.625000,687731.125000,687587.000000,687196.937500,686619.937500,685709.562500,684595.750000,683262.812500,681998.250000,630676.937500,609493.437500,593000.062500,581477.125000,572395.375000,564832.687500,558447.375000,552905.250000,547888.250000,543341.187500,539127.875000,534962.000000,530621.000000,526606.187500,522684.656250,518686.281250,514662.750000,510680.031250,507014.093750,503222.125000,499239.375000,494956.937500,490770.000000,487086.781250,483230.406250,479408.531250,475348.625000,471706.031250,467910.750000,464320.031250,460531.968750,456642.937500,452559.000000,448504.406250,444830.156250,441156.093750,437523.031250,433892.468750,430367.937500,426842.031250,423100.968750,419245.156250,415288.750000,411269.250000,407520.375000,403766.812500,400215.968750,396662.812500,393110.343750,389446.500000,385860.843750,382308.468750,378783.562500,375116.875000,371451.656250,367744.875000,364189.156250,360528.750000,356857.718750,353064.687500,349359.093750,345498.000000,341581.187500,337540.625000,333655.937500,329786.937500,325489.625000,320652.156250,314524.000000,305611.750000,290022.750000,260396.718750,204981.968750,134689.359375,76829.289063,49278.371094,41604.445313,39813.265625,39267.148438,39114.812500,39291.292969,39395.628906,39263.007813,39166.898438,39232.976563,39271.000000,39215.078125,39160.656250,39069.269531,38971.761719,38802.996094,38460.496094,38056.554688,37671.160156,37182.937500,36421.734375,35689.765625,35039.101563,34510.921875,34057.445313,33460.964844,34020.425781,36306.710938
3,ROX,162830.750000,163113.796875,163234.218750,163261.359375,163319.093750,163341.156250,163319.156250,163273.062500,163178.406250,162913.109375,162492.312500,161815.703125,160809.734375,159196.484375,156999.328125,154281.109375,151532.031250,149030.546875,147249.281250,146109.375000,145477.843750,145016.359375,144674.031250,144449.625000,144341.968750,144286.984375,144138.031250,143949.875000,143816.250000,143718.468750,143654.296875,143577.765625,143596.187500,143700.484375,143789.875000,143749.468750,143678.921875,143717.875000,143738.125000,143668.312500,148087.906250,148558.062500,148825.515625,148909.515625,148996.343750,149081.203125,149183.437500,149296.109375,149529.281250,149734.640625,149884.343750,149880.968750,149953.359375,150055.281250,150235.812500,150358.046875,150555.156250,150756.765625,150926.343750,151010.468750,151102.953125,151270.687500,151304.468750,151373.359375,151553.703125,151804.078125,151932.562500,151900.468750,151959.687500,152080.734375,152294.859375,152343.437500,152386.609375,152429.812500,152585.984375,152724.000000,152925.921875,153039.718750,153105.437500,153111.406250,153253.937500,153360.953125,153435.671875,153413.031250,153443.921875,153465.453125,153542.468750,153645.515625,153782.406250,153921.531250,153985.390625,154014.250000,153979.781250,154048.890625,154196.500000,154342.984375,154336.687500,154317.718750,154357.734375,154422.156250,154479.984375,154558.703125,154646.125000,154700.671875,154778.953125,154867.000000,155017.156250,155078.343750,155220.328125,155563.890625,156428.718750,158076.343750,161241.187500,163028.109375,161743.281250,158246.781250,156057.843750,155257.218750,154715.812500,155062.312500,155907.343750,156854.812500,157001.531250,157156.687500,157185.906250,157202.750000,157169.125000,157235.328125,157230.703125,157139.828125,156919.937500,156746.343750,156502.093750,156201.671875,155950.812500,155735.453125,155405.875000,155050.078125,154815.312500,154625.218750,154083.625000,153077.093750,151712.359375
3,SYBR,134189.890625,136029.781250,136801.750000,136834.875000,137067.312500,137669.250000,138918.843750,141072.812500,145211.828125,153245.109375,168554.812500,196022.640625,241938.218750,310754.062500,399291.218750,494348.968750,579327.187500,643859.625000,687415.062500,715371.562500,733773.062500,746348.625000,755178.312500,761375.500000,765970.312500,769339.562500,771811.187500,773530.812500,774471.000000,775055.250000,775018.437500,774753.125000,774064.000000,772946.625000,771369.125000,769752.312500,768294.625000,766838.125000,765184.500000,763286.312500,708600.625000,684336.687500,665134.937500,651525.250000,641286.687500,633322.687500,626724.000000,620707.812500,614910.750000,609553.125000,604643.125000,600091.812500,595460.312500,590902.062500,586436.000000,582109.250000,577712.250000,573201.250000,568848.250000,564434.937500,559942.812500,555288.000000,550844.375000,546452.687500,541997.812500,537641.437500,533305.125000,529224.500000,524964.562500,520788.875000,516474.125000,512280.062500,507751.062500,503336.312500,499248.281250,495362.843750,491053.968750,487007.406250,482965.406250,479005.562500,474560.843750,470367.937500,466148.437500,462074.687500,457826.562500,453711.250000,449773.468750,445998.562500,441885.437500,437736.375000,433839.625000,430106.062500,426295.312500,422145.687500,418044.000000,414063.687500,410433.125000,406479.375000,402302.031250,398005.656250,393918.218750,389848.343750,385606.906250,381351.781250,376992.281250,372635.375000,367997.625000,362890.187500,356518.531250,347557.468750,332303.375000,304467.156250,249717.296875,175099.093750,108042.265625,72451.937500,60974.949219,57988.988281,57012.347656,56422.191406,55953.550781,55593.925781,55319.105469,54982.632813,54576.027344,54162.085938,53715.445313,53067.406250,52292.117188,51518.375000,50801.214844,49888.703125,48823.031250,47502.089844,46025.683594,44667.308594,43699.882813,42854.988281,42034.148438,41265.906250,40399.925781,41705.753906,46170.890625
4,ROX,199397.984375,198336.265625,196747.734375,194930.468750,193561.296875,192571.171875,192048.390625,191797.875000,191625.187500,191480.437500,191502.796875,191600.531250,191650.156250,191585.015625,191479.500000,191203.203125,190631.468750,189636.843750,187882.312500,184999.171875,181129.343750,177136.546875,173668.937500,170874.562500,168971.703125,167701.250000,166797.437500,166112.484375,165814.625000,165789.546875,165732.875000,165706.828125,165584.765625,165660.234375,165734.656250,165817.625000,165745.468750,165682.593750,165728.000000,166011.718750,172765.187500,173445.625000,174218.609375,174748.906250,175084.625000,175315.484375,175553.437500,175814.000000,176024.640625,176269.984375,176499.281250,176874.046875,177102.062500,177369.515625,177544.156250,177766.968750,177968.000000,178269.875000,178440.031250,178715.234375,178985.375000,179238.765625,179303.406250,179543.531250,179688.593750,179963.609375,180273.781250,180663.187500,180911.140625,181072.906250,181322.921875,181564.453125,181751.484375,181927.140625,182000.390625,182259.093750,182506.500000,182803.218750,182915.187500,183010.703125,183189.968750,183397.156250,183647.609375,183750.828125,183898.078125,184064.640625,184160.343750,184169.312500,184276.062500,184503.531250,184747.671875,185015.203125,185130.437500,185194.703125,185243.281250,185242.781250,185206.140625,185266.890625,185409.359375,185447.156250,185561.640625,185685.265625,185769.640625,185860.390625,186041.625000,186144.750000,186112.046875,186067.781250,186153.171875,186475.781250,187286.562500,188579.734375,191240.062500,193704.500000,195369.468750,194446.312500,192844.203125,191390.328125,191118.328125,191231.796875,191523.484375,192039.937500,192305.687500,192166.312500,191842.437500,191563.140625,191372.531250,191164.796875,190961.000000,190681.343750,190384.796875,190062.343750,189696.343750,189398.656250,189134.984375,188893.468750,188487.265625,188031.750000,187541.515625,187133.468750,186253.578125,185018.796875,183622.093750
4,SYBR,119899.632813,120874.367188,121635.664063,122244.078125,122752.648438,123166.046875,123365.375000,123450.203125,123672.492188,124082.328125,124818.570313,126222.640625,129067.023438,134513.734375,144941.187500,164780.546875,201478.656250,266058.875000,370089.562500,515752.531250,685361.375000,846790.000000,973031.000000,1057764.875000,1108730.375000,1138509.625000,1155749.000000,1166405.125000,1172320.375000,1175670.250000,1177455.625000,1178173.375000,1177790.500000,1176722.250000,1175322.500000,1173574.375000,1171258.125000,1168797.750000,1166031.500000,1162997.375000,1083423.625000,1047999.312500,1019287.437500,998866.812500,983724.500000,971522.312500,960924.562500,951744.937500,943704.562500,935944.437500,928364.812500,921269.250000,914400.062500,907457.500000,900389.812500,893441.187500,886587.062500,879752.187500,873253.250000,866304.500000,859367.437500,852418.125000,845951.250000,839341.562500,832692.062500,825875.000000,818840.500000,812078.375000,805437.937500,798983.000000,792419.687500,785859.187500,779245.125000,772529.937500,766275.125000,759823.875000,753450.125000,747030.125000,740815.000000,734600.125000,728216.812500,721833.562500,715368.687500,708840.562500,702328.062500,696018.562500,690005.812500,684085.625000,677912.750000,671736.187500,665373.750000,658870.187500,652526.000000,646473.250000,640402.625000,634269.687500,628214.750000,621916.375000,615469.625000,609171.000000,602952.500000,596674.125000,590183.187500,583617.000000,576975.312500,570423.812500,563683.125000,556419.937500,547484.937500,535817.812500,518315.312500,490419.218750,440304.656250,361908.781250,273397.500000,203412.171875,165925.234375,149230.656250,141217.734375,134089.921875,126366.656250,117660.304688,108873.523438,102408.585938,98699.695313,96537.875000,94531.929688,92551.679688,90577.507813,88548.773438,86655.476563,84455.843750,82146.132813,79218.679688,75275.437500,69673.804688,63501.132813,57480.574219,52556.148438,47823.445313,42650.031250,40198.304688,42471.316406
5,ROX,202224.531250,202711.890625,202902.437500,202876.000000,202913.578125,203009.421875,203134.765625,203245.750000,203345.328125,203357.796875,203225.593750,203021.812500,202702.890625,202155.734375,201141.656250,199253.453125,196296.578125,192293.296875,188358.046875,184706.062500,181747.375000,179358.375000,177947.875000,177151.031250,176733.187500,176342.484375,176076.093750,175833.218750,175612.421875,175273.687500,175159.984375,175157.734375,175214.453125,175177.000000,175157.921875,175289.734375,175297.484375,175181.609375,174859.218750,174591.609375,182812.343750,183626.375000,184301.484375,184686.500000,185092.781250,185336.031250,185725.250000,185963.031250,186365.171875,186609.984375,186955.093750,187283.890625,187507.265625,187726.531250,187884.859375,188136.593750,188406.125000,188832.875000,189143.312500,189378.687500,189577.281250,189891.515625,190191.937500,190476.828125,190681.703125,190845.406250,190997.406250,191258.218750,191629.125000,191915.421875,192110.875000,192292.328125,192522.062500,192754.500000,192904.390625,192941.390625,193035.750000,193311.984375,193696.515625,193904.171875,194137.375000,194276.328125,194475.031250,194608.437500,194812.750000,194924.609375,194996.593750,195117.562500,195343.546875,195555.562500,195619.859375,195627.390625,195744.187500,195945.640625,196083.671875,196158.718750,196269.640625,196315.703125,196314.250000,196312.468750,196416.703125,196473.078125,196501.312500,196582.281250,196712.296875,196807.062500,196848.296875,196834.250000,196928.390625,197318.468750,198208.187500,199521.093750,202517.562500,205875.218750,207179.734375,204843.656250,201274.062500,198626.906250,197133.562500,197820.421875,199835.640625,201998.578125,202647.015625,202805.312500,203004.156250,203191.015625,203408.875000,203482.953125,203448.156250,203250.625000,202903.031250,202605.171875,202319.109375,202058.218750,201630.859375,201210.000000,200776.734375,200338.515625,199919.484375,199497.937500,198488.718750,196982.718750,195277.109375
5,SYBR,134833.203125,134166.437500,133546.859375,133045.296875,132784.390625,132656.250000,132859.781250,133324.531250,134469.312500,136867.593750,141936.859375,151862.921875,170794.453125,206092.062500,268455.500000,370190.718750,514330.187500,685927.875000,852337.875000,985336.562500,1076226.000000,1132389.000000,1165432.625000,1184742.250000,1197307.875000,1205391.125000,1210164.250000,1213111.125000,1214848.500000,1215891.250000,1215669.875000,1215145.125000,1213298.125000,1211131.000000,1208647.375000,1206522.875000,1204324.250000,1202546.000000,1200620.625000,1197943.375000,1115857.500000,1079730.750000,1050142.625000,1029040.500000,1013388.375000,1001147.562500,990240.125000,981029.187500,972336.812500,964332.062500,956610.625000,949616.875000,942984.125000,936040.250000,929040.000000,921947.937500,915053.812500,907973.500000,901233.187500,894386.375000,887373.937500,880000.875000,872828.937500,866063.625000,859516.187500,853277.000000,846748.812500,840099.187500,832983.062500,826177.937500,819582.125000,813172.062500,806642.375000,799709.562500,793001.562500,786587.750000,780375.187500,774004.187500,767134.375000,760406.812500,753583.250000,747283.375000,740771.687500,734075.875000,727283.875000,720679.000000,714268.125000,707990.125000,701397.187500,694651.125000,687876.375000,681535.375000,675131.937500,668697.125000,662025.437500,655556.375000,649079.250000,642576.437500,635981.750000,629539.812500,623127.437500,616628.375000,610002.312500,603227.937500,596329.062500,589867.125000,583132.937500,575849.625000,567034.187500,555793.750000,538786.375000,511387.812500,460383.343750,377158.875000,279190.812500,197603.093750,150674.953125,128666.648438,118627.750000,110739.890625,102855.734375,93722.031250,84005.367188,76556.546875,72731.281250,71267.078125,69960.078125,68548.671875,66987.312500,65373.261719,63258.121094,60770.585938,57947.125000,55008.167969,52118.585938,49514.011719,47253.796875,45467.214844,44141.218750,43101.085938,41935.441406,42494.351563,45471.140625
