multicultivator,channel,wavelength,degree,value,from,to,model
2,0,720,0,-0.0858,NA,0.6813,1
2,0,720,1,1.8213,NA,0.6813,1
2,1,720,0,-0.1183,NA,0.6986,1
2,1,720,1,1.8121,NA,0.6986,1
2,2,720,0,-0.0827,NA,0.639,1
2,2,720,1,1.9537,NA,0.639,1
2,3,720,0,-0.0751,NA,0.6513,1
2,3,720,1,1.8914,NA,0.6513,1
2,4,720,0,-0.0715,NA,0.6718,1
2,4,720,1,1.8213,NA,0.6718,1
2,5,720,0,-0.0552,NA,0.6398,1
2,5,720,1,1.8988,NA,0.6398,1
2,6,720,0,-0.0554,NA,0.6409,1
2,6,720,1,1.8928,NA,0.6409,1
2,7,720,0,-0.0568,NA,0.6292,1
2,7,720,1,1.9386,NA,0.6292,1
2,0,720,0,-0.0858,0.6813,NA,2
2,0,720,1,1.8213,0.6813,NA,2
2,1,720,0,-0.1183,0.6986,NA,2
2,1,720,1,1.8121,0.6986,NA,2
2,2,720,0,-0.0827,0.639,NA,2
2,2,720,1,1.9537,0.639,NA,2
2,3,720,0,-0.0751,0.6513,NA,2
2,3,720,1,1.8914,0.6513,NA,2
2,4,720,0,-0.0715,0.6718,NA,2
2,4,720,1,1.8213,0.6718,NA,2
2,5,720,0,-0.0552,0.6398,NA,2
2,5,720,1,1.8988,0.6398,NA,2
2,6,720,0,-0.0554,0.6409,NA,2
2,6,720,1,1.8928,0.6409,NA,2
2,7,720,0,-0.0568,0.6292,NA,2
2,7,720,1,1.9386,0.6292,NA,2
